#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             374         1.12521        1.368631      0.01883767
             375        1.124832        1.367981      0.01879865
             376         1.12442        1.367334      0.01875981
             377        1.123977        1.366688      0.01872115
             378        1.123502        1.366045      0.01868268
             379        1.122998        1.365403      0.01864438
             380        1.122465        1.364764      0.01860628
             381        1.121906        1.364127      0.01856836
             382        1.121322        1.363491      0.01853062
             383        1.120716        1.362857      0.01849308
             384        1.120088        1.362225      0.01845572
             385         1.11944        1.361594      0.01841856
             386        1.118775        1.360965      0.01838158
             387        1.118095        1.360338      0.01834479
             388        1.117403        1.359712      0.01830819
             389        1.116699        1.359087      0.01827179
             390        1.115987        1.358464      0.01823556
             391        1.115267        1.357842      0.01819953
             392        1.114542        1.357221      0.01816368
             393        1.113813        1.356602      0.01812802
             394        1.113083        1.355983      0.01809254
             395        1.112353        1.355367      0.01805725
             396        1.111625        1.354751      0.01802214
             397        1.110901        1.354137      0.01798721
             398        1.110183        1.353524      0.01795245
             399        1.109473        1.352912      0.01791788
             400        1.108771        1.352302      0.01788347
             401        1.108081        1.351693      0.01784924
             402        1.107402        1.351085      0.01781519
             403        1.106737        1.350479      0.01778129
             404        1.106086        1.349874      0.01774757
             405        1.105452         1.34927        0.017714
             406        1.104836        1.348668       0.0176806
             407        1.104239        1.348068      0.01764736
             408        1.103663        1.347469      0.01761427
             409        1.103109        1.346871      0.01758133
             410        1.102576        1.346276      0.01754854
             411        1.102067        1.345681       0.0175159
             412        1.101582        1.345089      0.01748341
             413        1.101123        1.344498      0.01745105
             414         1.10069        1.343909      0.01741883
             415        1.100284        1.343322      0.01738675
             416        1.099906        1.342737       0.0173548
             417        1.099556        1.342154      0.01732297
             418        1.099237        1.341573      0.01729128
             419        1.098948        1.340994       0.0172597
             420        1.098691        1.340417      0.01722825
             421        1.098465        1.339842      0.01719691
             422        1.098272         1.33927      0.01716568
             423        1.098113          1.3387      0.01713456
             424        1.097988        1.338132      0.01710356
             425        1.097899        1.337567      0.01707265
             426        1.097845        1.337004      0.01704184
             427        1.097829        1.336444      0.01701114
             428        1.097851        1.335886      0.01698052
             429        1.097912        1.335332         0.01695
             430        1.098013         1.33478      0.01691956
             431        1.098156        1.334231      0.01688921
             432         1.09834        1.333685      0.01685894
             433        1.098568        1.333142      0.01682875
             434         1.09884        1.332602      0.01679863
             435        1.099157        1.332065      0.01676858
             436         1.09952        1.331532       0.0167386
             437        1.099929        1.331002      0.01670869
             438        1.100387        1.330475      0.01667883
             439        1.100894        1.329952      0.01664904
             440        1.101452        1.329433      0.01661929
             441         1.10206        1.328917       0.0165896
             442         1.10272        1.328406      0.01655996
             443        1.103432        1.327898      0.01653037
             444        1.104196        1.327394      0.01650081
             445        1.105012        1.326894       0.0164713
             446        1.105883        1.326399      0.01644182
             447        1.106806        1.325907      0.01641237
             448        1.107783         1.32542      0.01638296
             449        1.108814        1.324938      0.01635357
             450        1.109899         1.32446      0.01632421
             451        1.111037        1.323987      0.01629487
             452        1.112228        1.323518      0.01626556
             453        1.113469        1.323055      0.01623626
             454        1.114762        1.322596      0.01620698
             455        1.116103        1.322142      0.01617771
             456        1.117493        1.321693      0.01614846
             457        1.118929         1.32125      0.01611921
             458         1.12041        1.320811      0.01608998
             459        1.121933        1.320378      0.01606076
             460        1.123498         1.31995      0.01603155
             461          1.1251        1.319527      0.01600234
             462        1.126739         1.31911      0.01597315
             463        1.128412        1.318698      0.01594396
             464        1.130117        1.318292      0.01591477
             465        1.131849        1.317891       0.0158856
             466        1.133607        1.317495      0.01585643
             467        1.135387        1.317105      0.01582727
             468        1.137185        1.316721      0.01579812
             469           1.139        1.316342      0.01576898
             470        1.140825        1.315968      0.01573985
             471         1.14266        1.315601      0.01571073
             472          1.1445        1.315238      0.01568163
             473        1.146341        1.314881      0.01565254
             474        1.148181        1.314529      0.01562347
             475        1.150017        1.314183      0.01559442
             476        1.151846        1.313842      0.01556538
             477        1.153663        1.313506      0.01553637
             478        1.155466        1.313175      0.01550739
             479        1.157253         1.31285      0.01547843
             480        1.159019        1.312529       0.0154495
             481        1.160763        1.312214       0.0154206
             482        1.162482        1.311903      0.01539174
             483        1.164174        1.311597      0.01536291
             484        1.165837        1.311296      0.01533412
             485        1.167467           1.311      0.01530537
             486        1.169062        1.310708      0.01527666
             487        1.170621         1.31042        0.015248
             488        1.172142        1.310137      0.01521939
             489        1.173623        1.309857      0.01519083
             490        1.175063        1.309582      0.01516231
             491        1.176461        1.309311      0.01513386
             492        1.177815        1.309044      0.01510546
             493        1.179125         1.30878      0.01507712
             494         1.18039        1.308521      0.01504884
             495        1.181609        1.308264      0.01502062
             496        1.182782        1.308011      0.01499247
             497        1.183908        1.307761      0.01496438
             498        1.184988        1.307515      0.01493636
             499        1.186021        1.307271      0.01490841
             500        1.187008        1.307031      0.01488054
             501        1.187948        1.306793      0.01485273
             502        1.188843        1.306558        0.014825
             503        1.189691        1.306326      0.01479735
             504        1.190495        1.306096      0.01476978
             505        1.191254        1.305869      0.01474228
             506        1.191969        1.305644      0.01471486
             507        1.192641        1.305421      0.01468753
             508        1.193272          1.3052      0.01466027
             509        1.193861        1.304981       0.0146331
             510        1.194409        1.304764      0.01460602
             511        1.194917        1.304549      0.01457902
             512        1.195387        1.304336       0.0145521
             513        1.195819        1.304125      0.01452527
             514        1.196216        1.303915      0.01449853
             515        1.196577        1.303706      0.01447187
             516        1.196905        1.303499      0.01444531
             517        1.197199        1.303294      0.01441883
             518        1.197462        1.303089      0.01439244
             519        1.197693        1.302886      0.01436614
             520        1.197896        1.302684      0.01433994
             521        1.198069        1.302484      0.01431382
             522        1.198216        1.302284      0.01428779
             523        1.198337        1.302085      0.01426185
             524        1.198432        1.301887      0.01423601
             525        1.198504         1.30169      0.01421025
             526        1.198553        1.301494      0.01418459
             527        1.198579        1.301299      0.01415902
             528        1.198585        1.301105      0.01413354
             529         1.19857        1.300911      0.01410815
             530        1.198537        1.300718      0.01408285
             531        1.198486        1.300525      0.01405765
             532        1.198419        1.300333      0.01403253
             533        1.198334        1.300142      0.01400751
             534        1.198235        1.299951      0.01398258
             535         1.19812        1.299761      0.01395774
             536        1.197992        1.299571      0.01393299
             537         1.19785        1.299381      0.01390833
             538        1.197696        1.299192      0.01388376
             539         1.19753        1.299004      0.01385929
             540        1.197354        1.298815       0.0138349
             541        1.197166        1.298628       0.0138106
             542        1.196969         1.29844       0.0137864
             543        1.196762        1.298253      0.01376228
             544        1.196546        1.298066      0.01373825
             545         1.19632        1.297879      0.01371431
             546        1.196086        1.297693      0.01369046
             547        1.195844        1.297506       0.0136667
             548        1.195594         1.29732      0.01364302
             549        1.195337        1.297135      0.01361944
             550        1.195073        1.296949      0.01359594
             551        1.194803        1.296764      0.01357253
             552        1.194525        1.296579       0.0135492
             553         1.19424        1.296393      0.01352597
             554        1.193949        1.296209      0.01350281
             555        1.193651        1.296024      0.01347975
             556        1.193346        1.295839      0.01345677
             557        1.193034        1.295655      0.01343388
             558        1.192715         1.29547      0.01341107
             559        1.192388        1.295286      0.01338834
             560        1.192055        1.295101      0.01336571
             561        1.191713        1.294917      0.01334315
             562        1.191365        1.294733      0.01332068
             563        1.191008        1.294548       0.0132983
             564        1.190643        1.294364      0.01327599
             565        1.190269         1.29418      0.01325377
             566        1.189887        1.293996      0.01323164
             567        1.189496        1.293811      0.01320959
             568        1.189095        1.293627      0.01318762
             569        1.188684        1.293443      0.01316573
             570        1.188263        1.293258      0.01314392
             571        1.187831        1.293074       0.0131222
             572        1.187388        1.292889      0.01310056
             573        1.186934        1.292704        0.013079
             574        1.186467        1.292519      0.01305753
             575        1.185988        1.292333      0.01303613
             576        1.185496        1.292148      0.01301482
             577        1.184989        1.291962      0.01299359
             578        1.184468        1.291776      0.01297244
             579        1.183933         1.29159      0.01295137
             580        1.183382        1.291403      0.01293039
             581        1.182816        1.291217      0.01290948
             582        1.182234        1.291029      0.01288866
             583        1.181635        1.290842      0.01286792
             584        1.181019        1.290654      0.01284726
             585        1.180387        1.290465      0.01282668
             586        1.179736        1.290276      0.01280618
             587        1.179068        1.290087      0.01278577
             588        1.178381        1.289897      0.01276543
             589        1.177675        1.289706      0.01274518
             590        1.176949        1.289515      0.01272501
             591        1.176204        1.289323      0.01270492
             592         1.17544        1.289131      0.01268492
             593        1.174656        1.288938        0.012665
             594        1.173853        1.288744      0.01264516
             595         1.17303         1.28855       0.0126254
             596        1.172187        1.288355      0.01260573
             597        1.171324        1.288158      0.01258614
             598        1.170441        1.287962      0.01256663
             599        1.169539        1.287764       0.0125472
             600        1.168618        1.287565      0.01252786
             601        1.167677        1.287366      0.01250861
             602        1.166718        1.287165      0.01248943
             603        1.165741        1.286964      0.01247034
             604        1.164747        1.286762      0.01245134
             605        1.163734        1.286558      0.01243242
             606        1.162706        1.286354      0.01241358
             607        1.161661        1.286149      0.01239483
             608        1.160601        1.285942      0.01237617
             609        1.159526        1.285735      0.01235758
