#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             379       0.8254723       0.7843447      0.01525003
             380       0.8253417       0.7844526      0.01521028
             381       0.8251812       0.7845595      0.01517073
             382        0.824991       0.7846653      0.01513138
             383       0.8247704         0.78477      0.01509224
             384       0.8245207       0.7848735      0.01505329
             385       0.8242428       0.7849758      0.01501454
             386        0.823937       0.7850767      0.01497598
             387       0.8236044       0.7851763      0.01493761
             388       0.8232449       0.7852744      0.01489944
             389       0.8228582        0.785371      0.01486145
             390       0.8224444       0.7854661      0.01482365
             391        0.822004       0.7855595      0.01478603
             392        0.821538       0.7856513      0.01474859
             393        0.821047       0.7857414      0.01471134
             394        0.820531       0.7858297      0.01467427
             395       0.8199903       0.7859161      0.01463737
             396       0.8194261       0.7860008      0.01460065
             397       0.8188386       0.7860835      0.01456411
             398       0.8182281       0.7861642      0.01452774
             399       0.8175947        0.786243      0.01449154
             400       0.8169395       0.7863198      0.01445552
             401       0.8162633       0.7863944      0.01441966
             402       0.8155658        0.786467      0.01438398
             403       0.8148471       0.7865374      0.01434846
             404       0.8141076       0.7866057       0.0143131
             405       0.8133477       0.7866717      0.01427791
             406       0.8125679       0.7867355      0.01424289
             407       0.8117684        0.786797      0.01420803
             408        0.810949       0.7868562      0.01417333
             409       0.8101104        0.786913      0.01413879
             410       0.8092534       0.7869675      0.01410441
             411       0.8083801       0.7870196      0.01407019
             412       0.8074905       0.7870693      0.01403612
             413       0.8065836       0.7871166      0.01400222
             414       0.8056604       0.7871614      0.01396847
             415       0.8047209       0.7872037      0.01393487
             416       0.8037653       0.7872435      0.01390143
             417       0.8027938       0.7872808      0.01386814
             418       0.8018069       0.7873155      0.01383501
             419       0.8008059       0.7873477      0.01380203
             420       0.7997904       0.7873773       0.0137692
             421       0.7987606       0.7874044      0.01373652
             422       0.7977173       0.7874288      0.01370399
             423       0.7966603       0.7874506      0.01367161
             424       0.7955901       0.7874698      0.01363938
             425       0.7945068       0.7874864       0.0136073
             426       0.7934106       0.7875003      0.01357536
             427        0.792302       0.7875115      0.01354357
             428       0.7911823       0.7875201      0.01351193
             429       0.7900533        0.787526      0.01348044
             430       0.7889152       0.7875293      0.01344909
             431       0.7877675       0.7875298      0.01341788
             432       0.7866105       0.7875277      0.01338682
             433       0.7854445       0.7875229      0.01335591
             434       0.7842701       0.7875154      0.01332514
             435       0.7830879       0.7875052      0.01329451
             436       0.7818985       0.7874923      0.01326402
             437       0.7807028       0.7874768      0.01323368
             438       0.7795018       0.7874586      0.01320348
             439       0.7782963       0.7874377      0.01317342
             440       0.7770871       0.7874142       0.0131435
             441       0.7758745        0.787388      0.01311372
             442       0.7746594       0.7873592      0.01308408
             443       0.7734419       0.7873278      0.01305459
             444       0.7722225       0.7872938      0.01302523
             445       0.7710026       0.7872572      0.01299601
             446       0.7697831        0.787218      0.01296693
             447       0.7685647       0.7871763      0.01293799
             448       0.7673489        0.787132      0.01290918
             449       0.7661366       0.7870853      0.01288052
             450       0.7649276        0.787036      0.01285199
             451       0.7637227       0.7869843       0.0128236
             452        0.762524       0.7869302      0.01279534
             453       0.7613324       0.7868737      0.01276722
             454        0.760148       0.7868148      0.01273923
             455       0.7589717       0.7867536      0.01271138
             456       0.7578042       0.7866902      0.01268366
             457       0.7566465       0.7866244      0.01265608
             458       0.7554997       0.7865565      0.01262863
             459       0.7543646       0.7864863      0.01260131
             460       0.7532432       0.7864141      0.01257412
             461       0.7521367       0.7863397      0.01254707
             462       0.7510453       0.7862633      0.01252014
             463       0.7499694       0.7861849      0.01249335
             464       0.7489095       0.7861046      0.01246668
             465       0.7478667       0.7860224      0.01244014
             466       0.7468425       0.7859383      0.01241373
             467       0.7458371       0.7858524      0.01238744
             468       0.7448515       0.7857648      0.01236129
             469       0.7438877       0.7856755      0.01233525
             470       0.7429464       0.7855846      0.01230934
             471       0.7420272       0.7854921      0.01228355
             472       0.7411312       0.7853981      0.01225789
             473       0.7402591       0.7853027      0.01223235
             474       0.7394113       0.7852059      0.01220692
             475       0.7385882       0.7851077      0.01218162
             476        0.737791       0.7850083      0.01215643
             477       0.7370208       0.7849077      0.01213136
             478       0.7362779        0.784806      0.01210641
             479        0.735563       0.7847032      0.01208157
             480       0.7348765       0.7845994      0.01205685
             481       0.7342186       0.7844946      0.01203224
             482         0.73359        0.784389      0.01200774
             483       0.7329919       0.7842826      0.01198335
             484       0.7324249       0.7841755      0.01195907
             485       0.7318887       0.7840677       0.0119349
             486       0.7313833       0.7839593      0.01191083
             487       0.7309087       0.7838503      0.01188687
             488       0.7304652       0.7837409      0.01186302
             489       0.7300532       0.7836311      0.01183926
             490       0.7296731        0.783521      0.01181561
             491       0.7293253       0.7834106      0.01179207
             492       0.7290102       0.7833001      0.01176862
             493       0.7287281       0.7831894      0.01174527
             494       0.7284791       0.7830786      0.01172201
             495       0.7282634       0.7829679      0.01169885
             496       0.7280819       0.7828572      0.01167579
             497       0.7279344       0.7827467      0.01165282
             498       0.7278211       0.7826364      0.01162994
             499       0.7277425       0.7825264      0.01160716
             500       0.7276989       0.7824168      0.01158446
             501       0.7276901       0.7823075      0.01156185
             502       0.7277158       0.7821988      0.01153933
             503       0.7277763       0.7820906       0.0115169
             504       0.7278718        0.781983      0.01149455
             505       0.7280025       0.7818761      0.01147229
             506       0.7281684         0.78177      0.01145011
             507       0.7283703       0.7816647      0.01142801
             508       0.7286078       0.7815602      0.01140599
             509       0.7288808       0.7814567      0.01138405
             510       0.7291894       0.7813542      0.01136219
             511       0.7295344       0.7812528       0.0113404
             512       0.7299164       0.7811526       0.0113187
             513       0.7303356       0.7810535      0.01129707
             514       0.7307919       0.7809557      0.01127551
             515       0.7312848       0.7808593      0.01125403
             516       0.7318145       0.7807642      0.01123262
             517       0.7323809       0.7806706      0.01121129
             518        0.732985       0.7805786      0.01119002
             519       0.7336265       0.7804881      0.01116883
             520       0.7343042       0.7803993       0.0111477
             521       0.7350176       0.7803122      0.01112664
             522       0.7357666       0.7802269      0.01110566
             523       0.7365509       0.7801433      0.01108473
             524       0.7373706       0.7800617      0.01106388
             525       0.7382253        0.779982      0.01104309
             526       0.7391146       0.7799043      0.01102237
             527       0.7400381       0.7798287      0.01100172
             528        0.740996       0.7797551      0.01098113
             529       0.7419876       0.7796837       0.0109606
             530       0.7430118       0.7796146      0.01094014
             531       0.7440681       0.7795476      0.01091974
             532       0.7451568        0.779483      0.01089941
             533       0.7462768       0.7794207      0.01087913
             534       0.7474267       0.7793608      0.01085893
             535       0.7486059       0.7793033      0.01083878
             536        0.749814       0.7792483       0.0108187
             537        0.751049       0.7791957      0.01079868
             538       0.7523094       0.7791458      0.01077872
             539       0.7535943       0.7790984      0.01075883
             540        0.754902       0.7790536        0.010739
             541       0.7562316       0.7790114      0.01071923
             542       0.7575818       0.7789718      0.01069953
             543       0.7589508        0.778935      0.01067989
             544       0.7603375       0.7789008      0.01066031
             545       0.7617406       0.7788693       0.0106408
             546       0.7631584       0.7788405      0.01062135
             547       0.7645896       0.7788145      0.01060196
             548       0.7660318       0.7787911      0.01058264
             549       0.7674828       0.7787705      0.01056338
             550       0.7689414       0.7787527      0.01054419
             551       0.7704056       0.7787375      0.01052507
             552        0.771873       0.7787251      0.01050601
             553        0.773342       0.7787153      0.01048701
             554       0.7748111       0.7787083      0.01046809
             555       0.7762781       0.7787039      0.01044923
             556       0.7777422       0.7787022      0.01043043
             557       0.7792018       0.7787031      0.01041171
             558       0.7806541       0.7787066      0.01039305
             559       0.7820975       0.7787126      0.01037446
             560       0.7835301       0.7787212      0.01035594
             561         0.78495       0.7787324      0.01033748
             562       0.7863558       0.7787459       0.0103191
             563       0.7877464       0.7787619      0.01030078
             564       0.7891197       0.7787803      0.01028253
             565       0.7904736        0.778801      0.01026435
             566       0.7918068       0.7788239      0.01024625
             567       0.7931182       0.7788492      0.01022821
             568       0.7944069       0.7788765      0.01021024
             569       0.7956719       0.7789061      0.01019233
             570       0.7969116       0.7789376       0.0101745
             571       0.7981244       0.7789713      0.01015674
             572       0.7993095       0.7790068      0.01013904
             573       0.8004668       0.7790443      0.01012142
             574       0.8015955       0.7790835      0.01010386
             575       0.8026946       0.7791246      0.01008637
             576       0.8037636       0.7791674      0.01006895
             577       0.8048019       0.7792118       0.0100516
             578       0.8058092       0.7792578      0.01003431
             579       0.8067851       0.7793054       0.0100171
             580       0.8077291       0.7793544     0.009999946
             581       0.8086412       0.7794048     0.009982862
             582       0.8095216       0.7794565     0.009965843
             583       0.8103698       0.7795096      0.00994889
             584        0.811187       0.7795638     0.009932002
             585       0.8119741       0.7796192     0.009915179
             586       0.8127308       0.7796757      0.00989842
             587       0.8134571       0.7797333     0.009881724
             588       0.8141532       0.7797918     0.009865092
             589       0.8148192       0.7798513     0.009848522
             590       0.8154559       0.7799116     0.009832015
             591       0.8160637       0.7799728     0.009815569
             592       0.8166437       0.7800347     0.009799184
             593       0.8171969       0.7800974      0.00978286
             594       0.8177242       0.7801607     0.009766595
             595       0.8182266       0.7802247      0.00975039
             596       0.8187055       0.7802893     0.009734244
             597       0.8191612       0.7803544     0.009718157
             598       0.8195948         0.78042     0.009702127
             599       0.8200075       0.7804861     0.009686155
             600       0.8204009       0.7805526      0.00967024
             601       0.8207761       0.7806196     0.009654381
             602       0.8211336       0.7806869     0.009638579
             603       0.8214748       0.7807545     0.009622832
             604       0.8218009       0.7808225      0.00960714
             605       0.8221127       0.7808907     0.009591503
             606       0.8224119       0.7809592      0.00957592
             607       0.8227002        0.781028     0.009560391
             608        0.822978        0.781097     0.009544916
             609       0.8232461       0.7811662     0.009529494
             610       0.8235056       0.7812356     0.009514124
             611       0.8237571       0.7813052     0.009498807
             612       0.8240015        0.781375     0.009483543
             613       0.8242399       0.7814449      0.00946833
             614       0.8244738        0.781515     0.009453168
             615       0.8247042       0.7815852     0.009438058
             616       0.8249323       0.7816556     0.009422999
             617        0.825159       0.7817261      0.00940799
             618       0.8253852       0.7817967     0.009393032
             619       0.8256114       0.7818675     0.009378125
             620        0.825838       0.7819384     0.009363267
             621       0.8260657       0.7820095     0.009348459
             622       0.8262957       0.7820807       0.0093337
             623       0.8265285        0.782152     0.009318991
             624       0.8267647       0.7822235     0.009304331
             625       0.8270058       0.7822952      0.00928972
             626       0.8272526        0.782367     0.009275158
             627       0.8275054        0.782439     0.009260644
             628       0.8277645       0.7825111     0.009246179
