#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             261        1.041101        1.040362       2.027e-05
             262         1.04111        1.040365    2.039277e-05
             263        1.041119        1.040368    2.051585e-05
             264        1.041128         1.04037    2.063924e-05
             265        1.041137        1.040373    2.076296e-05
             266        1.041146        1.040376    2.088698e-05
             267        1.041155        1.040379    2.101133e-05
             268        1.041164        1.040382    2.113599e-05
             269        1.041173        1.040385    2.126097e-05
             270        1.041182        1.040388    2.138627e-05
             271        1.041191        1.040391    2.151189e-05
             272        1.041201        1.040394    2.163783e-05
             273         1.04121        1.040397    2.176409e-05
             274        1.041219          1.0404    2.189066e-05
             275        1.041229        1.040403    2.201756e-05
             276        1.041238        1.040406    2.214477e-05
             277        1.041248        1.040409    2.227231e-05
             278        1.041257        1.040412    2.240016e-05
             279        1.041267        1.040415    2.252832e-05
             280        1.041276        1.040418     2.26568e-05
             281        1.041286        1.040421     2.27856e-05
             282        1.041296        1.040424    2.291472e-05
             283        1.041305        1.040428    2.304414e-05
             284        1.041315        1.040431    2.317389e-05
             285        1.041325        1.040434    2.330395e-05
             286        1.041335        1.040437    2.343432e-05
             287        1.041344         1.04044    2.356501e-05
             288        1.041354        1.040443    2.369602e-05
             289        1.041364        1.040446    2.382733e-05
             290        1.041374         1.04045    2.395897e-05
             291        1.041384        1.040453    2.409091e-05
             292        1.041394        1.040456    2.422317e-05
             293        1.041404        1.040459    2.435575e-05
             294        1.041414        1.040463    2.448864e-05
             295        1.041425        1.040466    2.462185e-05
             296        1.041435        1.040469    2.475537e-05
             297        1.041445        1.040472     2.48892e-05
             298        1.041455        1.040476    2.502336e-05
             299        1.041466        1.040479    2.515783e-05
             300        1.041476        1.040482    2.529262e-05
             301        1.041487        1.040486    2.542773e-05
             302        1.041497        1.040489    2.556316e-05
             303        1.041508        1.040492    2.569891e-05
             304        1.041518        1.040496    2.583498e-05
             305        1.041529        1.040499    2.597138e-05
             306        1.041539        1.040503    2.610809e-05
             307         1.04155        1.040506    2.624513e-05
             308        1.041561        1.040509    2.638248e-05
             309        1.041572        1.040513    2.652016e-05
             310        1.041583        1.040516    2.665816e-05
             311        1.041593         1.04052    2.679648e-05
             312        1.041604        1.040523    2.693512e-05
             313        1.041615        1.040527    2.707407e-05
             314        1.041626         1.04053    2.721335e-05
             315        1.041637        1.040534    2.735295e-05
             316        1.041648        1.040537    2.749288e-05
             317        1.041659        1.040541    2.763312e-05
             318        1.041671        1.040544    2.777368e-05
             319        1.041682        1.040548    2.791457e-05
             320        1.041693        1.040551    2.805578e-05
             321        1.041704        1.040555     2.81973e-05
             322        1.041716        1.040559    2.833915e-05
             323        1.041727        1.040562    2.848133e-05
             324        1.041738        1.040566    2.862382e-05
             325         1.04175         1.04057    2.876663e-05
             326        1.041761        1.040573    2.890977e-05
             327        1.041773        1.040577    2.905323e-05
             328        1.041785        1.040581    2.919702e-05
             329        1.041796        1.040584    2.934112e-05
             330        1.041808        1.040588    2.948555e-05
             331         1.04182        1.040592     2.96303e-05
             332        1.041831        1.040595    2.977537e-05
             333        1.041843        1.040599    2.992077e-05
             334        1.041855        1.040603    3.006649e-05
             335        1.041867        1.040607    3.021254e-05
             336        1.041879         1.04061    3.035891e-05
             337        1.041891        1.040614    3.050561e-05
             338        1.041903        1.040618    3.065263e-05
             339        1.041915        1.040622    3.079998e-05
             340        1.041927        1.040626    3.094765e-05
             341        1.041939         1.04063    3.109565e-05
             342        1.041951        1.040633    3.124398e-05
             343        1.041964        1.040637    3.139263e-05
             344        1.041976        1.040641    3.154161e-05
             345        1.041988        1.040645    3.169092e-05
             346        1.042001        1.040649    3.184056e-05
             347        1.042013        1.040653    3.199053e-05
             348        1.042026        1.040657    3.214083e-05
             349        1.042038        1.040661    3.229146e-05
             350        1.042051        1.040665    3.244243e-05
             351        1.042063        1.040669    3.259372e-05
             352        1.042076        1.040673    3.274535e-05
             353        1.042089        1.040677     3.28973e-05
             354        1.042101        1.040681    3.304959e-05
             355        1.042114        1.040685    3.320222e-05
             356        1.042127        1.040689    3.335517e-05
             357         1.04214        1.040693    3.350846e-05
             358        1.042153        1.040697    3.366208e-05
             359        1.042166        1.040701    3.381604e-05
             360        1.042179        1.040705    3.397033e-05
             361        1.042192        1.040709    3.412495e-05
             362        1.042205        1.040714    3.427991e-05
             363        1.042218        1.040718     3.44352e-05
             364        1.042232        1.040722    3.459083e-05
             365        1.042245        1.040726    3.474679e-05
             366        1.042258         1.04073    3.490309e-05
             367        1.042271        1.040734    3.505972e-05
             368        1.042285        1.040739     3.52167e-05
             369        1.042298        1.040743    3.537401e-05
             370        1.042312        1.040747    3.553165e-05
             371        1.042325        1.040751    3.568964e-05
             372        1.042339        1.040756    3.584797e-05
             373        1.042353         1.04076    3.600663e-05
             374        1.042366        1.040764    3.616564e-05
             375         1.04238        1.040769    3.632499e-05
             376        1.042394        1.040773    3.648469e-05
             377        1.042408        1.040777    3.664472e-05
             378        1.042422        1.040782     3.68051e-05
             379        1.042436        1.040786    3.696581e-05
             380         1.04245         1.04079    3.712688e-05
             381        1.042464        1.040795    3.728828e-05
             382        1.042478        1.040799    3.745003e-05
             383        1.042492        1.040803    3.761212e-05
             384        1.042506        1.040808    3.777455e-05
             385         1.04252        1.040812    3.793733e-05
             386        1.042534        1.040817    3.810046e-05
             387        1.042549        1.040821    3.826393e-05
             388        1.042563        1.040826    3.842774e-05
             389        1.042578         1.04083    3.859191e-05
             390        1.042592        1.040835    3.875641e-05
             391        1.042606        1.040839    3.892127e-05
             392        1.042621        1.040844    3.908647e-05
             393        1.042636        1.040848    3.925202e-05
             394         1.04265        1.040853    3.941792e-05
             395        1.042665        1.040858    3.958416e-05
             396         1.04268        1.040862    3.975076e-05
             397        1.042695        1.040867     3.99177e-05
             398        1.042709        1.040871      4.0085e-05
             399        1.042724        1.040876    4.025264e-05
             400        1.042739        1.040881    4.042064e-05
             401        1.042754        1.040885    4.058899e-05
             402        1.042769         1.04089    4.075768e-05
             403        1.042785        1.040895    4.092673e-05
             404          1.0428          1.0409    4.109614e-05
             405        1.042815        1.040904     4.12659e-05
             406         1.04283        1.040909    4.143601e-05
             407        1.042845        1.040914    4.160647e-05
             408        1.042861        1.040919     4.17773e-05
             409        1.042876        1.040923    4.194847e-05
             410        1.042892        1.040928    4.212001e-05
             411        1.042907        1.040933     4.22919e-05
             412        1.042923        1.040938    4.246416e-05
             413        1.042938        1.040943    4.263677e-05
             414        1.042954        1.040947    4.280974e-05
             415         1.04297        1.040952    4.298308e-05
             416        1.042986        1.040957    4.315677e-05
             417        1.043002        1.040962    4.333083e-05
             418        1.043017        1.040967    4.350525e-05
             419        1.043033        1.040972    4.368003e-05
             420        1.043049        1.040977    4.385518e-05
             421        1.043065        1.040982    4.403069e-05
             422        1.043082        1.040987    4.420657e-05
             423        1.043098        1.040992    4.438282e-05
             424        1.043114        1.040997    4.455943e-05
             425         1.04313        1.041002     4.47364e-05
             426        1.043146        1.041007    4.491375e-05
             427        1.043163        1.041012    4.509146e-05
             428        1.043179        1.041017    4.526955e-05
             429        1.043196        1.041022      4.5448e-05
             430        1.043212        1.041027    4.562683e-05
             431        1.043229        1.041032    4.580602e-05
             432        1.043245        1.041037    4.598559e-05
             433        1.043262        1.041043    4.616554e-05
             434        1.043279        1.041048    4.634585e-05
             435        1.043296        1.041053    4.652654e-05
             436        1.043313        1.041058    4.670761e-05
             437         1.04333        1.041063    4.688905e-05
             438        1.043346        1.041068    4.707087e-05
             439        1.043363        1.041074    4.725306e-05
             440        1.043381        1.041079    4.743563e-05
             441        1.043398        1.041084    4.761858e-05
             442        1.043415        1.041089    4.780191e-05
             443        1.043432        1.041095    4.798562e-05
             444        1.043449          1.0411    4.816971e-05
             445        1.043467        1.041105    4.835418e-05
             446        1.043484        1.041111    4.853903e-05
             447        1.043502        1.041116    4.872426e-05
             448        1.043519        1.041121    4.890987e-05
             449        1.043537        1.041127    4.909587e-05
             450        1.043554        1.041132    4.928224e-05
             451        1.043572        1.041138    4.946901e-05
             452         1.04359        1.041143    4.965616e-05
             453        1.043608        1.041148    4.984369e-05
             454        1.043625        1.041154    5.003161e-05
             455        1.043643        1.041159    5.021993e-05
             456        1.043661        1.041165    5.040863e-05
             457        1.043679         1.04117    5.059772e-05
             458        1.043697        1.041176    5.078721e-05
             459        1.043716        1.041181    5.097708e-05
             460        1.043734        1.041187    5.116735e-05
             461        1.043752        1.041193    5.135802e-05
             462         1.04377        1.041198    5.154907e-05
             463        1.043789        1.041204    5.174053e-05
             464        1.043807        1.041209    5.193238e-05
             465        1.043826        1.041215    5.212463e-05
             466        1.043844        1.041221    5.231728e-05
             467        1.043863        1.041226    5.251033e-05
             468        1.043882        1.041232    5.270378e-05
             469          1.0439        1.041238    5.289763e-05
             470        1.043919        1.041243    5.309188e-05
             471        1.043938        1.041249    5.328654e-05
             472        1.043957        1.041255     5.34816e-05
             473        1.043976        1.041261    5.367707e-05
             474        1.043995        1.041266    5.387294e-05
             475        1.044014        1.041272    5.406921e-05
             476        1.044033        1.041278     5.42659e-05
             477        1.044052        1.041284    5.446299e-05
             478        1.044072         1.04129    5.466048e-05
             479        1.044091        1.041295    5.485839e-05
             480        1.044111        1.041301     5.50567e-05
             481         1.04413        1.041307    5.525543e-05
             482        1.044149        1.041313    5.545457e-05
             483        1.044169        1.041319    5.565411e-05
             484        1.044189        1.041325    5.585407e-05
             485        1.044208        1.041331    5.605445e-05
             486        1.044228        1.041337    5.625523e-05
             487        1.044248        1.041343    5.645643e-05
             488        1.044268        1.041349    5.665804e-05
             489        1.044288        1.041355    5.686008e-05
             490        1.044308        1.041361    5.706252e-05
             491        1.044328        1.041367    5.726539e-05
             492        1.044348        1.041373    5.746868e-05
             493        1.044368        1.041379    5.767238e-05
             494        1.044389        1.041385    5.787651e-05
             495        1.044409        1.041391    5.808106e-05
             496        1.044429        1.041397    5.828603e-05
             497         1.04445        1.041403    5.849143e-05
             498         1.04447         1.04141    5.869725e-05
             499        1.044491        1.041416     5.89035e-05
             500        1.044511        1.041422    5.911017e-05
             501        1.044532        1.041428    5.931727e-05
             502        1.044553        1.041434     5.95248e-05
             503        1.044574        1.041441    5.973275e-05
             504        1.044595        1.041447    5.994114e-05
             505        1.044616        1.041453    6.014996e-05
             506        1.044637        1.041459    6.035921e-05
             507        1.044658        1.041466    6.056889e-05
             508        1.044679        1.041472      6.0779e-05
             509          1.0447        1.041478    6.098955e-05
             510        1.044721        1.041485    6.120053e-05
             511        1.044743        1.041491    6.141195e-05
             512        1.044764        1.041498     6.16238e-05
             513        1.044786        1.041504     6.18361e-05
             514        1.044807         1.04151    6.204883e-05
             515        1.044829        1.041517      6.2262e-05
             516         1.04485        1.041523    6.247561e-05
             517        1.044872         1.04153    6.268966e-05
             518        1.044894        1.041536    6.290416e-05
             519        1.044916        1.041543     6.31191e-05
             520        1.044938        1.041549    6.333448e-05
             521         1.04496        1.041556    6.355031e-05
             522        1.044982        1.041562    6.376658e-05
             523        1.045004        1.041569     6.39833e-05
             524        1.045026        1.041576    6.420047e-05
             525        1.045049        1.041582    6.441808e-05
             526        1.045071        1.041589    6.463615e-05
             527        1.045093        1.041596    6.485466e-05
             528        1.045116        1.041602    6.507363e-05
             529        1.045138        1.041609    6.529305e-05
             530        1.045161        1.041616    6.551292e-05
             531        1.045184        1.041622    6.573325e-05
             532        1.045206        1.041629    6.595403e-05
             533        1.045229        1.041636    6.617527e-05
             534        1.045252        1.041643    6.639696e-05
             535        1.045275        1.041649    6.661912e-05
             536        1.045298        1.041656    6.684173e-05
             537        1.045321        1.041663    6.706481e-05
             538        1.045344         1.04167    6.728834e-05
             539        1.045368        1.041677    6.751234e-05
             540        1.045391        1.041684     6.77368e-05
             541        1.045414         1.04169    6.796173e-05
             542        1.045438        1.041697    6.818712e-05
             543        1.045461        1.041704    6.841298e-05
             544        1.045485        1.041711    6.863931e-05
             545        1.045509        1.041718    6.886611e-05
             546        1.045532        1.041725    6.909337e-05
             547        1.045556        1.041732    6.932111e-05
             548         1.04558        1.041739    6.954932e-05
             549        1.045604        1.041746    6.977801e-05
             550        1.045628        1.041753    7.000716e-05
             551        1.045652         1.04176     7.02368e-05
             552        1.045676        1.041767    7.046691e-05
             553        1.045701        1.041775     7.06975e-05
             554        1.045725        1.041782    7.092857e-05
             555        1.045749        1.041789    7.116012e-05
             556        1.045774        1.041796    7.139215e-05
             557        1.045798        1.041803    7.162467e-05
             558        1.045823         1.04181    7.185767e-05
             559        1.045848        1.041818    7.209115e-05
             560        1.045872        1.041825    7.232512e-05
             561        1.045897        1.041832    7.255958e-05
             562        1.045922        1.041839    7.279453e-05
             563        1.045947        1.041847    7.302996e-05
             564        1.045972        1.041854    7.326589e-05
             565        1.045997        1.041861    7.350231e-05
             566        1.046023        1.041869    7.373923e-05
             567        1.046048        1.041876    7.397664e-05
             568        1.046073        1.041884    7.421454e-05
             569        1.046099        1.041891    7.445295e-05
             570        1.046124        1.041898    7.469185e-05
             571         1.04615        1.041906    7.493125e-05
             572        1.046176        1.041913    7.517115e-05
             573        1.046201        1.041921    7.541155e-05
             574        1.046227        1.041928    7.565246e-05
             575        1.046253        1.041936    7.589387e-05
             576        1.046279        1.041943    7.613578e-05
             577        1.046305        1.041951     7.63782e-05
             578        1.046331        1.041958    7.662113e-05
             579        1.046358        1.041966    7.686457e-05
             580        1.046384        1.041974    7.710852e-05
             581         1.04641        1.041981    7.735298e-05
             582        1.046437        1.041989    7.759795e-05
             583        1.046463        1.041997    7.784344e-05
             584         1.04649        1.042004    7.808944e-05
             585        1.046517        1.042012    7.833596e-05
