#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             335          1.5628         1.56091     4.53188e-05
             336         1.56282         1.56092     4.55384e-05
             337         1.56284         1.56092     4.57584e-05
             338         1.56285         1.56093     4.59789e-05
             339         1.56287         1.56093        4.62e-05
             340         1.56289         1.56094     4.64215e-05
             341         1.56291         1.56094     4.66435e-05
             342         1.56293         1.56095      4.6866e-05
             343         1.56295         1.56096     4.70889e-05
             344         1.56296         1.56096     4.73124e-05
             345         1.56298         1.56097     4.75364e-05
             346           1.563         1.56097     4.77608e-05
             347         1.56302         1.56098     4.79858e-05
             348         1.56304         1.56099     4.82112e-05
             349         1.56306         1.56099     4.84372e-05
             350         1.56308           1.561     4.86636e-05
             351         1.56309           1.561     4.88906e-05
             352         1.56311         1.56101      4.9118e-05
             353         1.56313         1.56102      4.9346e-05
             354         1.56315         1.56102     4.95744e-05
             355         1.56317         1.56103     4.98033e-05
             356         1.56319         1.56103     5.00328e-05
             357         1.56321         1.56104     5.02627e-05
             358         1.56323         1.56105     5.04931e-05
             359         1.56325         1.56105     5.07241e-05
             360         1.56327         1.56106     5.09555e-05
             361         1.56329         1.56106     5.11874e-05
             362         1.56331         1.56107     5.14199e-05
             363         1.56333         1.56108     5.16528e-05
             364         1.56335         1.56108     5.18862e-05
             365         1.56337         1.56109     5.21202e-05
             366         1.56339          1.5611     5.23546e-05
             367         1.56341          1.5611     5.25896e-05
             368         1.56343         1.56111      5.2825e-05
             369         1.56345         1.56111      5.3061e-05
             370         1.56347         1.56112     5.32975e-05
             371         1.56349         1.56113     5.35345e-05
             372         1.56351         1.56113      5.3772e-05
             373         1.56353         1.56114       5.401e-05
             374         1.56355         1.56115     5.42485e-05
             375         1.56357         1.56115     5.44875e-05
             376         1.56359         1.56116      5.4727e-05
             377         1.56361         1.56117     5.49671e-05
             378         1.56363         1.56117     5.52076e-05
             379         1.56365         1.56118     5.54487e-05
             380         1.56367         1.56119     5.56903e-05
             381          1.5637         1.56119     5.59324e-05
             382         1.56372          1.5612      5.6175e-05
             383         1.56374         1.56121     5.64182e-05
             384         1.56376         1.56121     5.66618e-05
             385         1.56378         1.56122      5.6906e-05
             386          1.5638         1.56123     5.71507e-05
             387         1.56382         1.56123     5.73959e-05
             388         1.56384         1.56124     5.76416e-05
             389         1.56387         1.56125     5.78879e-05
             390         1.56389         1.56125     5.81346e-05
             391         1.56391         1.56126     5.83819e-05
             392         1.56393         1.56127     5.86297e-05
             393         1.56395         1.56127      5.8878e-05
             394         1.56398         1.56128     5.91269e-05
             395           1.564         1.56129     5.93762e-05
             396         1.56402         1.56129     5.96261e-05
             397         1.56404          1.5613     5.98766e-05
             398         1.56406         1.56131     6.01275e-05
             399         1.56409         1.56131      6.0379e-05
             400         1.56411         1.56132      6.0631e-05
             401         1.56413         1.56133     6.08835e-05
             402         1.56415         1.56134     6.11365e-05
             403         1.56418         1.56134     6.13901e-05
             404          1.5642         1.56135     6.16442e-05
             405         1.56422         1.56136     6.18988e-05
             406         1.56425         1.56136      6.2154e-05
             407         1.56427         1.56137     6.24097e-05
             408         1.56429         1.56138     6.26659e-05
             409         1.56431         1.56138     6.29227e-05
             410         1.56434         1.56139       6.318e-05
             411         1.56436          1.5614     6.34379e-05
             412         1.56438         1.56141     6.36962e-05
             413         1.56441         1.56141     6.39552e-05
             414         1.56443         1.56142     6.42146e-05
             415         1.56445         1.56143     6.44746e-05
             416         1.56448         1.56144     6.47352e-05
             417          1.5645         1.56144     6.49962e-05
             418         1.56453         1.56145     6.52579e-05
             419         1.56455         1.56146     6.55201e-05
             420         1.56457         1.56147     6.57828e-05
             421          1.5646         1.56147      6.6046e-05
             422         1.56462         1.56148     6.63099e-05
             423         1.56465         1.56149     6.65742e-05
             424         1.56467          1.5615     6.68391e-05
             425          1.5647          1.5615     6.71046e-05
             426         1.56472         1.56151     6.73706e-05
             427         1.56474         1.56152     6.76372e-05
             428         1.56477         1.56153     6.79043e-05
             429         1.56479         1.56153      6.8172e-05
             430         1.56482         1.56154     6.84402e-05
             431         1.56484         1.56155      6.8709e-05
             432         1.56487         1.56156     6.89784e-05
             433         1.56489         1.56156     6.92483e-05
             434         1.56492         1.56157     6.95188e-05
             435         1.56494         1.56158     6.97898e-05
             436         1.56497         1.56159     7.00614e-05
             437         1.56499         1.56159     7.03336e-05
             438         1.56502          1.5616     7.06063e-05
