#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             315       -3.354499       -3.349255    0.0005561062
             316       -3.354653       -3.349272    0.0005546087
             317       -3.354658       -3.349289    0.0005531192
             318       -3.354513       -3.349306    0.0005516237
             319       -3.354521       -3.349322    0.0005501367
             320        -3.35453       -3.349338    0.0005486582
             321       -3.354844       -3.349356     0.000547217
             322       -3.355159       -3.349374    0.0005458143
             323       -3.355476       -3.349392    0.0005444514
             324       -3.355794       -3.349412    0.0005431294
             325       -3.355811       -3.349432     0.000541815
             326       -3.355828       -3.349452    0.0005405081
             327       -3.355998       -3.349472    0.0005392258
             328       -3.356319       -3.349492    0.0005379857
             329       -3.356338       -3.349513    0.0005367527
             330       -3.356509       -3.349534    0.0005355447
             331       -3.356378       -3.349555    0.0005343256
             332       -3.356246       -3.349575    0.0005330962
             333       -3.356567       -3.349596    0.0005319086
             334       -3.356434       -3.349617    0.0005307098
             335       -3.356904       -3.349638    0.0005295713
             336       -3.357071       -3.349661     0.000528457
             337       -3.357085       -3.349683    0.0005273479
             338       -3.357097       -3.349705    0.0005262437
             339       -3.357409       -3.349727    0.0005251819
             340       -3.356964       -3.349749    0.0005240684
             341       -3.356668       -3.349769    0.0005229242
             342       -3.356671       -3.349789    0.0005217844
             343       -3.356822        -3.34981    0.0005206659
             344        -3.35697        -3.34983    0.0005195682
             345       -3.356812       -3.349851    0.0005184562
             346       -3.356954       -3.349871    0.0005173642
             347       -3.356791       -3.349891    0.0005162574
             348       -3.356474        -3.34991    0.0005151203
             349       -3.356304       -3.349928    0.0005139701
             350       -3.356131       -3.349946     0.000512807
             351       -3.356407       -3.349964    0.0005116763
             352        -3.35653       -3.349983    0.0005105625
             353       -3.356499       -3.350002    0.0005094497
             354       -3.356463        -3.35002    0.0005083375
             355       -3.356274       -3.350037    0.0005072107
             356       -3.356535       -3.350056    0.0005061143
             357        -3.35619       -3.350073    0.0005049882
             358       -3.356295        -3.35009    0.0005038766
             359       -3.355794       -3.350106    0.0005027234
             360       -3.355593       -3.350121    0.0005015579
             361        -3.35554       -3.350136    0.0005003931
             362       -3.355336       -3.350151    0.0004992169
             363       -3.355584       -3.350166     0.000498066
             364       -3.355378        -3.35018    0.0004969035
             365        -3.35517       -3.350194    0.0004957302
             366       -3.355113       -3.350207    0.0004945579
             367       -3.354602       -3.350219    0.0004933553
             368       -3.354696       -3.350231    0.0004921647
             369       -3.354337       -3.350242    0.0004909566
             370        -3.35428       -3.350253     0.000489751
             371       -3.354526       -3.350265    0.0004885663
             372       -3.354471       -3.350276    0.0004873838
             373       -3.354115       -3.350286    0.0004861858
             374       -3.354063       -3.350297    0.0004849907
             375        -3.35356       -3.350305    0.0004837755
             376       -3.353813       -3.350315    0.0004825788
             377       -3.353616       -3.350323    0.0004813782
             378       -3.353269       -3.350331    0.0004801678
             379       -3.353378       -3.350339    0.0004789681
             380       -3.353036       -3.350346    0.0004777602
             381       -3.352998       -3.350353     0.000476557
             382       -3.352661       -3.350359    0.0004753477
             383        -3.35278       -3.350366    0.0004741486
             384       -3.352751       -3.350372    0.0004729546
             385       -3.352875       -3.350378    0.0004717708
             386       -3.352248       -3.350383    0.0004705735
             387       -3.351776       -3.350387    0.0004693713
             388        -3.35176        -3.35039    0.0004681749
             389       -3.351897       -3.350394    0.0004669874
             390       -3.351584       -3.350397       0.0004658
             391       -3.351575         -3.3504    0.0004646184
             392       -3.351569       -3.350403    0.0004634427
             393       -3.351567       -3.350406    0.0004622729
             394       -3.351567       -3.350409     0.000461109
             395        -3.35157       -3.350412     0.000459951
             396       -3.351576       -3.350415    0.0004587989
             397       -3.351736       -3.350418    0.0004576553
             398       -3.351747       -3.350422    0.0004565176
             399       -3.351911       -3.350425    0.0004553887
             400       -3.352229        -3.35043    0.0004542726
             401       -3.352096       -3.350434    0.0004531587
             402       -3.351965       -3.350438    0.0004520475
             403       -3.351987       -3.350442    0.0004509421
             404        -3.35186       -3.350445    0.0004498396
             405       -3.352038       -3.350449    0.0004487461
             406       -3.351916       -3.350453    0.0004476553
             407       -3.352098       -3.350457    0.0004465737
             408       -3.351828        -3.35046    0.0004454918
             409       -3.351861       -3.350464    0.0004444157
             410       -3.351594       -3.350466    0.0004433403
             411       -3.351782        -3.35047    0.0004422732
             412        -3.35182       -3.350473    0.0004412118
             413       -3.351859       -3.350476    0.0004401563
             414         -3.3519        -3.35048    0.0004391066
             415       -3.351941       -3.350483    0.0004380626
             416       -3.351531       -3.350486    0.0004370168
             417       -3.351425       -3.350488    0.0004359746
             418        -3.35132        -3.35049    0.0004349361
             419       -3.351216       -3.350492    0.0004339016
             420       -3.351263       -3.350493    0.0004328724
             421       -3.351312       -3.350495    0.0004318485
             422       -3.351362       -3.350497    0.0004308301
             423       -3.351414         -3.3505     0.000429817
             424       -3.351619       -3.350502    0.0004288114
             425       -3.351673       -3.350505    0.0004278113
             426       -3.351728       -3.350508    0.0004268167
             427       -3.351634       -3.350511    0.0004258252
             428       -3.351692       -3.350513    0.0004248393
             429       -3.351904       -3.350517    0.0004238613
             430       -3.352117        -3.35052    0.0004228919
             431       -3.352331       -3.350524    0.0004219316
             432       -3.352547       -3.350529    0.0004209809
             433       -3.352764       -3.350534    0.0004200403
             434        -3.35268       -3.350539    0.0004191016
             435       -3.352598       -3.350544    0.0004181648
             436       -3.352215       -3.350548    0.0004172233
             437       -3.352136       -3.350551    0.0004162844
             438        -3.35221       -3.350555    0.0004153512
             439       -3.351832       -3.350558    0.0004144152
             440        -3.35206       -3.350562    0.0004134874
             441       -3.351985       -3.350565    0.0004125624
             442       -3.352063       -3.350568    0.0004116429
             443       -3.352141       -3.350572     0.000410729
             444       -3.352221       -3.350575    0.0004098208
             445        -3.35215       -3.350579    0.0004089151
             446        -3.35223       -3.350583     0.000408015
             447       -3.352159       -3.350586    0.0004071174
             448       -3.352693       -3.350591    0.0004062359
             449       -3.352623       -3.350595    0.0004053563
             450       -3.352854         -3.3506    0.0004044866
             451       -3.352933       -3.350606    0.0004036228
             452       -3.353161       -3.350611    0.0004027694
             453       -3.353237       -3.350617     0.000401922
             454       -3.353311       -3.350623    0.0004010805
             455       -3.353383       -3.350629    0.0004002448
             456       -3.353452       -3.350635     0.000399415
             457       -3.353369       -3.350641    0.0003985858
             458       -3.353433       -3.350647    0.0003977621
             459       -3.353192       -3.350653    0.0003969342
             460       -3.353251       -3.350659    0.0003961114
             461       -3.353003       -3.350664    0.0003952849
             462       -3.353356       -3.350669    0.0003944722
             463       -3.352799       -3.350674    0.0003936471
             464       -3.352993       -3.350679    0.0003928304
             465       -3.353181       -3.350684    0.0003920225
             466        -3.35397       -3.350691    0.0003912446
             467       -3.353999       -3.350699    0.0003904709
             468       -3.354173       -3.350706    0.0003897072
             469       -3.354191       -3.350713    0.0003889471
             470       -3.354053        -3.35072    0.0003881845
             471       -3.354213       -3.350728    0.0003874311
             472       -3.354065       -3.350735    0.0003866748
             473       -3.354063       -3.350742    0.0003859213
             474       -3.354207       -3.350749    0.0003851763
             475       -3.354196       -3.350757    0.0003844337
             476       -3.354179       -3.350764    0.0003836934
             477        -3.35431       -3.350771     0.000382961
             478       -3.354436       -3.350779    0.0003822366
             479       -3.354557       -3.350787      0.00038152
             480       -3.354373       -3.350794    0.0003807983
