#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             354       -5.446584       -5.452858    0.0009814682
             355       -5.446529       -5.452841    0.0009788654
             356       -5.446796       -5.452824    0.0009762631
             357       -5.447065       -5.452807    0.0009736617
             358       -5.448304       -5.452795    0.0009710232
             359       -5.448572       -5.452783    0.0009683897
             360       -5.447544       -5.452769    0.0009658091
             361       -5.447812       -5.452755    0.0009632313
             362       -5.447756       -5.452741    0.0009606694
             363       -5.448348       -5.452729    0.0009580991
             364        -5.44797       -5.452716    0.0009555562
             365       -5.447915       -5.452703    0.0009530287
             366        -5.44786       -5.452689    0.0009505167
             367       -5.448129       -5.452677     0.000948008
             368       -5.448076       -5.452665    0.0009455143
             369       -5.448024       -5.452652    0.0009430356
             370       -5.447325       -5.452638    0.0009405967
             371       -5.447272       -5.452623    0.0009381726
             372       -5.446573       -5.452607    0.0009357916
             373       -5.446847       -5.452591    0.0009334102
             374       -5.447121       -5.452577     0.000931029
             375       -5.446748       -5.452561     0.000928676
             376       -5.447025       -5.452547    0.0009263229
             377        -5.44633        -5.45253    0.0009240125
             378       -5.446607       -5.452514    0.0009217009
             379       -5.446884         -5.4525    0.0009193887
             380       -5.446839       -5.452485    0.0009170899
             381        -5.44647       -5.452469    0.0009148187
             382       -5.446425       -5.452453    0.0009125607
             383       -5.445409       -5.452435    0.0009103634
             384       -5.445043       -5.452415    0.0009081961
             385       -5.445001       -5.452396    0.0009060413
             386       -5.445284       -5.452378    0.0009038814
             387        -5.44492       -5.452358    0.0009017511
             388       -5.444879       -5.452339     0.000899633
             389       -5.444515       -5.452319    0.0008975452
             390       -5.444475       -5.452299    0.0008954691
             391       -5.443789       -5.452277    0.0008934433
             392       -5.444075       -5.452256    0.0008914091
             393       -5.443714       -5.452234    0.0008894059
             394       -5.444001       -5.452214    0.0008873939
             395       -5.442994        -5.45219    0.0008854543
             396       -5.442636       -5.452166    0.0008835469
             397       -5.443248       -5.452144    0.0008816069
             398       -5.443214       -5.452121    0.0008796772
             399       -5.442533       -5.452097    0.0008778007
             400       -5.443148       -5.452075    0.0008758912
             401       -5.443116       -5.452052    0.0008739918
             402       -5.443408       -5.452031    0.0008720822
             403       -5.443701        -5.45201    0.0008701631
             404       -5.443347       -5.451989    0.0008682735
             405       -5.443965       -5.451969    0.0008663556
             406       -5.443935       -5.451949    0.0008644477
             407       -5.443905       -5.451929    0.0008625496
             408       -5.443553       -5.451909    0.0008606798
             409       -5.444173        -5.45189    0.0008587833
             410       -5.444473       -5.451872    0.0008568792
             411       -5.444773       -5.451855    0.0008549684
             412       -5.445394       -5.451839     0.000853037
             413       -5.445046       -5.451823    0.0008511301
             414       -5.445345       -5.451807     0.000849218
             415       -5.445321       -5.451791    0.0008473156
             416       -5.444973       -5.451775    0.0008454373
             417       -5.444302       -5.451757    0.0008435997
             418       -5.443633       -5.451738    0.0008418054
             419       -5.443611       -5.451718    0.0008400198
             420       -5.445208       -5.451703    0.0008381627
             421       -5.445188       -5.451687    0.0008363146
             422       -5.445492       -5.451672    0.0008344617
             423       -5.445796       -5.451659    0.0008326046
             424       -5.445777       -5.451645    0.0008307565
             425       -5.445757       -5.451631    0.0008289172
             426       -5.445415       -5.451616    0.0008270998
             427       -5.445397       -5.451602    0.0008252911
             428        -5.44506       -5.451586    0.0008235043
             429       -5.445046       -5.451571    0.0008217259
             430       -5.445356       -5.451557     0.000819942
             431       -5.445342       -5.451542    0.0008181664
             432       -5.445328       -5.451528    0.0008163989
             433        -5.44564       -5.451514    0.0008146267
             434       -5.445628       -5.451501    0.0008128626
             435       -5.445617       -5.451487    0.0008111065
             436       -5.445931       -5.451474    0.0008093463
             437       -5.445276        -5.45146    0.0008076185
             438       -5.445917       -5.451448    0.0008058738
             439       -5.446558       -5.451437    0.0008041151
             440       -5.445906       -5.451424    0.0008023858
             441       -5.446225       -5.451412    0.0008006529
             442       -5.446222         -5.4514    0.0007989276
             443       -5.446219       -5.451389    0.0007972097
             444       -5.446217       -5.451377    0.0007954993
             445       -5.445894       -5.451365    0.0007938071
             446       -5.445572       -5.451352    0.0007921335
             447       -5.446223        -5.45134    0.0007904444
             448       -5.445905       -5.451328    0.0007887732
             449       -5.445909       -5.451316    0.0007871088
             450       -5.445592       -5.451303    0.0007854624
             451       -5.446571       -5.451293    0.0007837909
             452        -5.44723       -5.451284    0.0007821084
             453        -5.44724       -5.451275    0.0007804328
             454       -5.446928       -5.451265    0.0007787725
             455       -5.447265       -5.451257    0.0007771106
             456       -5.446632       -5.451246    0.0007754726
             457       -5.446972       -5.451237    0.0007738321
             458       -5.447313       -5.451229    0.0007721899
             459        -5.44701       -5.451219    0.0007705623
             460       -5.447033        -5.45121    0.0007689409
             461       -5.446731       -5.451201    0.0007673343
             462       -5.446755       -5.451191    0.0007657337
             463       -5.446779       -5.451181    0.0007641392
             464       -5.447128       -5.451173    0.0007625422
             465       -5.446508       -5.451163    0.0007609683
             466       -5.446536       -5.451153    0.0007594001
             467       -5.447213       -5.451144    0.0007578208
             468       -5.447246       -5.451136    0.0007562474
             469       -5.447603       -5.451128    0.0007546724
             470        -5.44796       -5.451122    0.0007530968
             471       -5.448643       -5.451116    0.0007515163
             472       -5.449003       -5.451112    0.0007499374
             473       -5.449039       -5.451107    0.0007483647
             474       -5.449076       -5.451103    0.0007467982
             475       -5.449115       -5.451099    0.0007452377
             476       -5.448508       -5.451094     0.000743692
             477       -5.448225       -5.451088    0.0007421572
             478       -5.447619        -5.45108      0.00074064
             479       -5.447338       -5.451072     0.000739135
             480       -5.447704       -5.451065    0.0007376285
             481       -5.448072       -5.451059    0.0007361212
             482       -5.448117       -5.451053    0.0007346193
             483       -5.447516       -5.451046    0.0007331348
             484       -5.447238       -5.451038    0.0007316623
             485       -5.447284        -5.45103    0.0007301946
             486        -5.44733       -5.451023    0.0007287319
             487         -5.4477       -5.451016    0.0007272674
             488       -5.447748       -5.451009     0.000725808
             489        -5.44812       -5.451003    0.0007243477
             490       -5.448492       -5.450998    0.0007228876
             491       -5.448217       -5.450992    0.0007214375
             492        -5.44859       -5.450988    0.0007199877
             493        -5.44864       -5.450983     0.000718543
             494       -5.448366       -5.450977     0.000717108
             495       -5.449065       -5.450974    0.0007156697
             496       -5.449116        -5.45097    0.0007142366
             497       -5.449815       -5.450968    0.0007128033
             498       -5.449219       -5.450964    0.0007113806
             499       -5.448948        -5.45096    0.0007099665
             500       -5.448677       -5.450955    0.0007085612
             501       -5.449052       -5.450952    0.0007071571
             502        -5.44878       -5.450947    0.0007057617
             503       -5.449481       -5.450944    0.0007043646
             504       -5.449857       -5.450942    0.0007029704
             505       -5.450234       -5.450941    0.0007015797
             506       -5.450612        -5.45094    0.0007001935
             507       -5.450665        -5.45094    0.0006988127
             508       -5.450395       -5.450939    0.0006974379
             509       -5.450448       -5.450938    0.0006960683
             510       -5.449855       -5.450935    0.0006947067
             511       -5.449587       -5.450933    0.0006933522
             512       -5.449967       -5.450931    0.0006920006
             513        -5.45067        -5.45093    0.0006906519
             514       -5.451048       -5.450931    0.0006893082
             515        -5.45078        -5.45093    0.0006879698
             516       -5.450188       -5.450929     0.000686638
             517       -5.450569       -5.450928    0.0006853103
             518       -5.449654       -5.450926    0.0006839917
             519       -5.449708       -5.450923    0.0006826778
             520       -5.449761       -5.450921    0.0006813686
             521       -5.449815       -5.450919    0.0006800641
             522       -5.449868       -5.450917    0.0006787643
             523       -5.449273       -5.450914    0.0006774738
             524       -5.449326       -5.450911    0.0006761877
             525       -5.449378       -5.450908     0.000674906
             526       -5.449429       -5.450905    0.0006736287
             527       -5.449805       -5.450903    0.0006723538
             528       -5.449855       -5.450901    0.0006710833
             529       -5.449904       -5.450899    0.0006698173
             530       -5.449305       -5.450896    0.0006685603
             531       -5.449031       -5.450893    0.0006673105
             532       -5.448754       -5.450889    0.0006660682
             533       -5.448799       -5.450885    0.0006648301
             534       -5.449166       -5.450881    0.0006635929
             535       -5.449209       -5.450878    0.0006623599
             536        -5.44925       -5.450875    0.0006611311
             537       -5.449612       -5.450873    0.0006599041
             538       -5.449325        -5.45087    0.0006586838
             539       -5.449359       -5.450867    0.0006574677
             540       -5.449392       -5.450865    0.0006562559
             541       -5.449099       -5.450861     0.000655051
