#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             364      0.05207868      0.05200554    1.675336e-06
             365      0.05207932      0.05200574    1.682898e-06
             366      0.05207997      0.05200594    1.690475e-06
             367      0.05208061      0.05200615    1.698069e-06
             368      0.05208126      0.05200635    1.705678e-06
             369      0.05208191      0.05200656    1.713304e-06
             370      0.05208257      0.05200676    1.720947e-06
             371      0.05208323      0.05200697    1.728606e-06
             372      0.05208389      0.05200717    1.736282e-06
             373      0.05208455      0.05200738    1.743974e-06
             374      0.05208521      0.05200759    1.751683e-06
             375      0.05208588       0.0520078     1.75941e-06
             376      0.05208655      0.05200801    1.767154e-06
             377      0.05208723      0.05200822    1.774915e-06
             378       0.0520879      0.05200843    1.782692e-06
             379      0.05208857      0.05200864    1.790486e-06
             380      0.05208925      0.05200885    1.798297e-06
             381      0.05208993      0.05200907    1.806123e-06
             382      0.05209061      0.05200928    1.813967e-06
             383       0.0520913      0.05200949    1.821828e-06
             384      0.05209199      0.05200971    1.829707e-06
             385      0.05209268      0.05200992    1.837602e-06
             386      0.05209337      0.05201014    1.845515e-06
             387      0.05209406      0.05201036    1.853443e-06
             388      0.05209476      0.05201057    1.861389e-06
             389      0.05209546      0.05201079    1.869352e-06
             390      0.05209616      0.05201101    1.877331e-06
             391      0.05209687      0.05201123    1.885328e-06
             392      0.05209758      0.05201145    1.893342e-06
             393      0.05209828      0.05201167    1.901373e-06
             394      0.05209899      0.05201189    1.909421e-06
             395      0.05209971      0.05201212    1.917485e-06
             396      0.05210042      0.05201234    1.925566e-06
             397      0.05210114      0.05201256    1.933665e-06
             398      0.05210187      0.05201279    1.941781e-06
             399      0.05210259      0.05201301    1.949915e-06
             400      0.05210332      0.05201324    1.958066e-06
             401      0.05210405      0.05201346    1.966234e-06
             402      0.05210478      0.05201369    1.974419e-06
             403       0.0521055      0.05201392     1.98262e-06
             404      0.05210624      0.05201415    1.990839e-06
             405      0.05210698      0.05201438    1.999075e-06
             406      0.05210772      0.05201461    2.007328e-06
             407      0.05210846      0.05201484    2.015597e-06
             408      0.05210921      0.05201507    2.023884e-06
             409      0.05210995       0.0520153    2.032188e-06
             410       0.0521107      0.05201553    2.040509e-06
             411      0.05211145      0.05201577    2.048848e-06
             412      0.05211221        0.052016    2.057204e-06
             413      0.05211297      0.05201624    2.065579e-06
             414      0.05211373      0.05201647     2.07397e-06
             415       0.0521145      0.05201671    2.082379e-06
             416      0.05211526      0.05201694    2.090807e-06
             417      0.05211603      0.05201718    2.099251e-06
             418       0.0521168      0.05201742    2.107713e-06
             419      0.05211757      0.05201766    2.116192e-06
             420      0.05211835       0.0520179    2.124689e-06
             421      0.05211912      0.05201814    2.133203e-06
             422       0.0521199      0.05201838    2.141734e-06
             423      0.05212069      0.05201862    2.150284e-06
             424      0.05212148      0.05201887    2.158852e-06
             425      0.05212226      0.05201911    2.167437e-06
             426      0.05212305      0.05201935     2.17604e-06
             427      0.05212385       0.0520196    2.184661e-06
             428      0.05212465      0.05201984    2.193301e-06
             429      0.05212545      0.05202009     2.20196e-06
             430      0.05212625      0.05202034    2.210637e-06
             431      0.05212706      0.05202058    2.219333e-06
             432      0.05212787      0.05202083    2.228048e-06
             433      0.05212868      0.05202108    2.236781e-06
             434      0.05212949      0.05202133    2.245532e-06
             435      0.05213031      0.05202158    2.254301e-06
             436      0.05213113      0.05202183    2.263088e-06
             437      0.05213195      0.05202208    2.271894e-06
             438      0.05213277      0.05202234    2.280718e-06
             439       0.0521336      0.05202259    2.289561e-06
             440      0.05213442      0.05202284    2.298421e-06
             441      0.05213526       0.0520231    2.307301e-06
             442      0.05213609      0.05202336      2.3162e-06
             443      0.05213693      0.05202361    2.325116e-06
             444      0.05213777      0.05202387    2.334052e-06
             445      0.05213861      0.05202413    2.343006e-06
             446      0.05213946      0.05202439    2.351979e-06
             447       0.0521403      0.05202464     2.36097e-06
             448      0.05214116       0.0520249    2.369981e-06
             449      0.05214201      0.05202517    2.379011e-06
             450      0.05214286      0.05202543    2.388058e-06
             451      0.05214372      0.05202569    2.397124e-06
             452      0.05214458      0.05202595    2.406209e-06
             453      0.05214545      0.05202622    2.415313e-06
             454      0.05214632      0.05202648    2.424437e-06
             455      0.05214719      0.05202675     2.43358e-06
             456      0.05214806      0.05202701    2.442743e-06
             457      0.05214894      0.05202728    2.451924e-06
             458      0.05214981      0.05202755    2.461124e-06
             459       0.0521507      0.05202781    2.470343e-06
             460      0.05215158      0.05202808    2.479581e-06
             461      0.05215247      0.05202835     2.48884e-06
             462      0.05215336      0.05202862    2.498117e-06
             463      0.05215425       0.0520289    2.507415e-06
             464      0.05215515      0.05202917    2.516732e-06
             465      0.05215605      0.05202944    2.526069e-06
             466      0.05215695      0.05202971    2.535425e-06
             467      0.05215786      0.05202999    2.544801e-06
             468      0.05215876      0.05203026    2.554196e-06
             469      0.05215968      0.05203054    2.563611e-06
             470      0.05216059      0.05203082    2.573046e-06
             471      0.05216151      0.05203109    2.582501e-06
             472      0.05216242      0.05203137    2.591975e-06
             473      0.05216335      0.05203165     2.60147e-06
             474      0.05216427      0.05203193    2.610984e-06
             475       0.0521652      0.05203221    2.620518e-06
             476      0.05216613      0.05203249    2.630073e-06
             477      0.05216707      0.05203277    2.639648e-06
             478        0.052168      0.05203306    2.649242e-06
             479      0.05216895      0.05203334    2.658857e-06
             480      0.05216989      0.05203363    2.668493e-06
             481      0.05217083      0.05203391    2.678148e-06
             482      0.05217178       0.0520342    2.687824e-06
             483      0.05217273      0.05203448     2.69752e-06
             484      0.05217369      0.05203477    2.707235e-06
             485      0.05217465      0.05203506    2.716972e-06
             486       0.0521756      0.05203535    2.726728e-06
             487      0.05217657      0.05203564    2.736504e-06
             488      0.05217753      0.05203593      2.7463e-06
             489       0.0521785      0.05203622    2.756116e-06
             490      0.05217947      0.05203651    2.765952e-06
             491      0.05218044      0.05203681    2.775808e-06
             492      0.05218142       0.0520371    2.785684e-06
             493       0.0521824       0.0520374    2.795582e-06
             494      0.05218339      0.05203769      2.8055e-06
             495      0.05218437      0.05203799    2.815438e-06
             496      0.05218536      0.05203828    2.825396e-06
             497      0.05218636      0.05203858    2.835376e-06
             498      0.05218735      0.05203888    2.845376e-06
             499      0.05218835      0.05203918    2.855396e-06
             500      0.05218935      0.05203948    2.865437e-06
             501      0.05219036      0.05203978    2.875499e-06
             502      0.05219136      0.05204008    2.885582e-06
             503      0.05219238      0.05204039    2.895685e-06
             504      0.05219339      0.05204069     2.90581e-06
             505      0.05219441      0.05204099    2.915956e-06
             506      0.05219543       0.0520413    2.926123e-06
             507      0.05219646      0.05204161    2.936311e-06
             508      0.05219749      0.05204191     2.94652e-06
             509      0.05219852      0.05204222    2.956751e-06
             510      0.05219955      0.05204253    2.967004e-06
             511      0.05220059      0.05204284    2.977278e-06
             512      0.05220163      0.05204315    2.987573e-06
             513      0.05220268      0.05204346     2.99789e-06
             514      0.05220371      0.05204377    3.008227e-06
             515      0.05220477      0.05204408    3.018585e-06
             516      0.05220582       0.0520444    3.028965e-06
             517      0.05220688      0.05204471    3.039366e-06
             518      0.05220794      0.05204503    3.049789e-06
             519        0.052209      0.05204534    3.060234e-06
             520      0.05221007      0.05204566    3.070701e-06
             521      0.05221114      0.05204598     3.08119e-06
             522      0.05221221       0.0520463    3.091701e-06
             523      0.05221329      0.05204661    3.102234e-06
             524      0.05221437      0.05204694    3.112788e-06
             525      0.05221545      0.05204726    3.123365e-06
             526      0.05221654      0.05204758    3.133963e-06
             527      0.05221763       0.0520479    3.144584e-06
             528      0.05221872      0.05204822    3.155227e-06
             529      0.05221982      0.05204855    3.165892e-06
             530      0.05222092      0.05204887    3.176579e-06
             531      0.05222202       0.0520492    3.187289e-06
             532      0.05222312      0.05204953     3.19802e-06
             533      0.05222423      0.05204985    3.208773e-06
             534      0.05222535      0.05205018    3.219549e-06
             535      0.05222646      0.05205051    3.230348e-06
             536      0.05222758      0.05205084    3.241169e-06
             537       0.0522287      0.05205117    3.252012e-06
             538      0.05222983      0.05205151    3.262877e-06
             539      0.05223096      0.05205184    3.273766e-06
             540      0.05223209      0.05205217    3.284678e-06
             541      0.05223323      0.05205251    3.295612e-06
             542      0.05223437      0.05205284    3.306569e-06
             543      0.05223551      0.05205318    3.317548e-06
             544      0.05223666      0.05205352     3.32855e-06
             545      0.05223781      0.05205386    3.339575e-06
             546      0.05223896      0.05205419    3.350622e-06
             547      0.05224012      0.05205453    3.361692e-06
             548      0.05224128      0.05205487    3.372786e-06
             549      0.05224244      0.05205522    3.383902e-06
             550      0.05224361      0.05205556    3.395041e-06
             551      0.05224478       0.0520559    3.406203e-06
             552      0.05224595      0.05205625    3.417388e-06
             553      0.05224713      0.05205659    3.428597e-06
             554      0.05224831      0.05205694    3.439829e-06
             555       0.0522495      0.05205728    3.451085e-06
             556      0.05225069      0.05205763    3.462364e-06
             557      0.05225188      0.05205798    3.473667e-06
             558      0.05225308      0.05205833    3.484992e-06
             559      0.05225428      0.05205868    3.496342e-06
             560      0.05225548      0.05205903    3.507715e-06
             561      0.05225669      0.05205939    3.519112e-06
             562       0.0522579      0.05205974    3.530533e-06
             563      0.05225911      0.05206009    3.541978e-06
             564      0.05226033      0.05206045    3.553447e-06
             565      0.05226155       0.0520608     3.56494e-06
             566      0.05226278      0.05206116    3.576457e-06
             567      0.05226401      0.05206152    3.587998e-06
             568      0.05226524      0.05206188    3.599564e-06
             569      0.05226648      0.05206224    3.611154e-06
             570      0.05226772       0.0520626    3.622769e-06
             571      0.05226897      0.05206296    3.634408e-06
             572      0.05227022      0.05206332    3.646073e-06
             573      0.05227147      0.05206368    3.657762e-06
             574      0.05227273      0.05206405    3.669475e-06
             575      0.05227399      0.05206441    3.681213e-06
             576      0.05227525      0.05206478    3.692976e-06
             577      0.05227652      0.05206515    3.704763e-06
             578      0.05227779      0.05206551    3.716576e-06
             579      0.05227907      0.05206588    3.728413e-06
             580      0.05228034      0.05206625    3.740275e-06
             581      0.05228163      0.05206662    3.752162e-06
             582      0.05228291        0.052067    3.764074e-06
             583       0.0522842      0.05206737    3.776011e-06
             584       0.0522855      0.05206774    3.787974e-06
             585       0.0522868      0.05206812    3.799961e-06
             586       0.0522881      0.05206849    3.811974e-06
             587       0.0522894      0.05206887    3.824013e-06
             588      0.05229071      0.05206924    3.836076e-06
             589      0.05229203      0.05206962    3.848165e-06
             590      0.05229334         0.05207    3.860279e-06
             591      0.05229466      0.05207038    3.872418e-06
             592      0.05229598      0.05207076    3.884583e-06
             593      0.05229731      0.05207115    3.896773e-06
             594      0.05229864      0.05207153    3.908989e-06
             595      0.05229998      0.05207191     3.92123e-06
             596      0.05230132       0.0520723    3.933497e-06
             597      0.05230266      0.05207268     3.94579e-06
             598      0.05230401      0.05207307    3.958109e-06
             599      0.05230536      0.05207346    3.970454e-06
             600      0.05230672      0.05207385    3.982824e-06
