#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             485       0.8914648        0.945227      0.01218688
             486       0.8909476       0.9451153      0.01216231
             487       0.8904553       0.9450031      0.01213786
             488       0.8900014       0.9448904      0.01211351
             489       0.8895731       0.9447772      0.01208926
             490       0.8891774       0.9446638      0.01206512
             491       0.8888277         0.94455      0.01204109
             492       0.8884984       0.9444361      0.01201715
             493       0.8882094       0.9443221      0.01199332
             494       0.8879607        0.944208      0.01196958
             495       0.8877265       0.9440939      0.01194594
             496       0.8875402       0.9439799       0.0119224
             497       0.8873758        0.943866      0.01189896
             498       0.8872724       0.9437523      0.01187561
             499       0.8871981        0.943639      0.01185235
             500       0.8871595        0.943526      0.01182918
             501       0.8871435       0.9434135      0.01180611
             502       0.8871758       0.9433015      0.01178312
             503       0.8872241         0.94319      0.01176022
             504       0.8873147       0.9430791      0.01173741
             505       0.8874413       0.9429689      0.01171469
             506        0.887604       0.9428595      0.01169205
             507         0.88781       0.9427509      0.01166949
             508       0.8880591       0.9426433      0.01164701
             509       0.8883379       0.9425366      0.01162462
             510       0.8886663        0.942431      0.01160231
             511       0.8890254       0.9423264      0.01158007
             512       0.8894093       0.9422231      0.01155792
             513       0.8898248        0.942121      0.01153584
             514        0.890285       0.9420201      0.01151384
             515       0.8907958       0.9419206      0.01149191
             516       0.8913507       0.9418226      0.01147006
             517       0.8919237       0.9417261      0.01144828
             518       0.8925616       0.9416312      0.01142657
             519       0.8932184       0.9415379      0.01140493
             520       0.8939122       0.9414463      0.01138337
             521       0.8946427       0.9413565      0.01136187
             522       0.8954098       0.9412685      0.01134045
             523        0.896226       0.9411824      0.01131909
             524       0.8970656       0.9410982       0.0112978
             525       0.8979412        0.941016      0.01127658
             526       0.8988523       0.9409358      0.01125543
             527       0.8997919       0.9408577      0.01123434
             528       0.9007734       0.9407818      0.01121332
             529       0.9017898       0.9407081      0.01119237
             530       0.9028525       0.9406367      0.01117148
             531       0.9039419       0.9405676      0.01115065
             532       0.9050646       0.9405008      0.01112989
             533       0.9062131       0.9404365       0.0111092
             534       0.9073858       0.9403746      0.01108856
             535       0.9085953       0.9403152        0.011068
             536       0.9098346       0.9402584      0.01104749
             537       0.9110952        0.940204      0.01102706
             538       0.9123951       0.9401524      0.01100668
             539       0.9137135       0.9401033      0.01098637
             540       0.9150557       0.9400569      0.01096612
             541        0.916427       0.9400132      0.01094594
             542       0.9178131       0.9399723      0.01092582
             543       0.9192055        0.939934      0.01090577
             544       0.9206229       0.9398985      0.01088578
             545       0.9220834       0.9398658      0.01086585
             546       0.9235462        0.939836      0.01084599
             547       0.9250033       0.9398088       0.0108262
             548       0.9264849       0.9397845      0.01080647
             549       0.9279758        0.939763      0.01078681
             550       0.9294745       0.9397443      0.01076721
             551       0.9309794       0.9397284      0.01074768
             552        0.932481       0.9397153      0.01072822
             553       0.9339844       0.9397049      0.01070882
             554       0.9354881       0.9396973       0.0106895
             555       0.9369964       0.9396924      0.01067024
             556       0.9385084       0.9396903      0.01065105
             557       0.9399897       0.9396908      0.01063192
             558       0.9414704        0.939694      0.01061287
             559        0.942968       0.9396999      0.01059389
             560       0.9444417       0.9397084      0.01057497
             561       0.9459155       0.9397194      0.01055613
             562       0.9473487        0.939733      0.01053735
             563       0.9487797       0.9397491      0.01051865
             564       0.9501994       0.9397676      0.01050002
             565       0.9515862       0.9397885      0.01048145
             566       0.9529519       0.9398118      0.01046296
             567        0.954295       0.9398373      0.01044454
             568       0.9556281       0.9398651      0.01042619
             569       0.9569303       0.9398951      0.01040791
             570       0.9582065       0.9399272       0.0103897
             571       0.9594617       0.9399614      0.01037156
             572       0.9606949       0.9399977      0.01035349
             573        0.961893       0.9400359      0.01033549
             574       0.9630551        0.940076      0.01031756
             575       0.9641935       0.9401179       0.0102997
             576       0.9653008       0.9401617      0.01028191
             577       0.9663765       0.9402071      0.01026419
             578       0.9674007       0.9402541      0.01024654
             579       0.9684057       0.9403028      0.01022896
             580       0.9693712       0.9403529      0.01021145
             581       0.9703171       0.9404045        0.010194
             582       0.9712236       0.9404574      0.01017663
             583       0.9720773       0.9405117      0.01015932
             584       0.9729056       0.9405671      0.01014207
             585        0.973716       0.9406238      0.01012489
             586       0.9745015       0.9406816      0.01010778
             587       0.9752491       0.9407405      0.01009073
             588       0.9759721       0.9408004      0.01007375
             589       0.9766576       0.9408613      0.01005683
             590       0.9773126       0.9409231      0.01003997
             591       0.9779509       0.9409857      0.01002318
             592       0.9785605       0.9410492      0.01000645
             593       0.9791227       0.9411134     0.009989782
             594       0.9796645       0.9411783     0.009973175
             595       0.9801938       0.9412439     0.009956629
             596       0.9806856         0.94131     0.009940143
             597         0.98116       0.9413768     0.009923717
             598       0.9815984       0.9414441      0.00990735
             599        0.982002       0.9415118     0.009891042
             600       0.9824052       0.9415799     0.009874791
             601        0.982783       0.9416485     0.009858599
             602       0.9831621       0.9417174     0.009842464
             603       0.9835242       0.9417868     0.009826385
             604       0.9838707       0.9418564     0.009810363
             605       0.9842022       0.9419264     0.009794398
             606       0.9844945       0.9419967     0.009778487
             607       0.9847821       0.9420672     0.009762632
             608       0.9850522       0.9421379     0.009746831
             609       0.9853317       0.9422088     0.009731084
             610       0.9855891       0.9422799     0.009715391
             611       0.9858448       0.9423512     0.009699752
             612       0.9860928       0.9424227     0.009684166
             613       0.9863477       0.9424943     0.009668633
             614       0.9865782       0.9425661     0.009653153
             615       0.9868115       0.9426381     0.009637725
             616       0.9870291       0.9427101     0.009622349
             617       0.9872714       0.9427824     0.009607024
             618       0.9874934       0.9428547     0.009591751
             619       0.9877219       0.9429272      0.00957653
             620       0.9879571       0.9429998     0.009561359
             621       0.9881803       0.9430726     0.009546239
             622       0.9884188       0.9431455      0.00953117
             623       0.9886469       0.9432185     0.009516151
             624       0.9888785       0.9432917     0.009501182
             625        0.989128        0.943365     0.009486263
             626       0.9893638       0.9434385     0.009471394
             627        0.989612       0.9435122     0.009456574
             628       0.9898864        0.943586     0.009441804
             629       0.9901551         0.94366     0.009427084
             630       0.9904321       0.9437343     0.009412412
             631       0.9907108       0.9438087      0.00939779
             632       0.9910045       0.9438834     0.009383217
             633       0.9913076       0.9439583     0.009368693
             634       0.9916006       0.9440335     0.009354217
             635       0.9919174       0.9441089      0.00933979
             636       0.9922587       0.9441846     0.009325411
             637       0.9926108       0.9442606     0.009311082
             638       0.9929677       0.9443369     0.009296801
             639       0.9933359       0.9444136     0.009282568
             640       0.9937157       0.9444907     0.009268383
             641       0.9941141       0.9445681     0.009254247
             642       0.9945245       0.9446459      0.00924016
             643       0.9949342       0.9447241      0.00922612
             644       0.9953629       0.9448027     0.009212129
             645       0.9957976       0.9448818     0.009198186
             646       0.9962454       0.9449613     0.009184291
             647       0.9967192       0.9450413     0.009170444
             648       0.9971923       0.9451218     0.009156646
             649       0.9976844       0.9452028     0.009142895
             650       0.9981887       0.9452843     0.009129192
             651       0.9987178       0.9453664     0.009115538
             652       0.9992451        0.945449     0.009101932
             653       0.9997833       0.9455322     0.009088373
             654        1.000312        0.945616     0.009074863
             655        1.000864       0.9457003       0.0090614
             656        1.001433       0.9457853     0.009047985
             657        1.002017       0.9458709     0.009034618
             658        1.002609       0.9459571     0.009021299
             659        1.003177       0.9460439     0.009008028
             660        1.003793       0.9461314     0.008994804
             661        1.004404       0.9462196     0.008981628
             662        1.005027       0.9463084       0.0089685
             663        1.005642       0.9463979     0.008955419
             664        1.006268       0.9464881     0.008942386
             665        1.006896       0.9465789       0.0089294
             666        1.007539       0.9466704     0.008916462
             667        1.008157       0.9467626     0.008903571
             668         1.00879       0.9468555     0.008890726
             669        1.009421        0.946949     0.008877928
             670        1.010045       0.9470432     0.008865177
             671        1.010677        0.947138     0.008852472
             672          1.0113       0.9472335     0.008839814
             673        1.011905       0.9473296     0.008827201
             674        1.012517       0.9474263     0.008814634
             675        1.013122       0.9475236     0.008802113
             676        1.013678       0.9476215     0.008789636
             677        1.014272       0.9477199     0.008777204
             678        1.014857        0.947819     0.008764817
