#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             343       0.9092841        1.102516      0.01458087
             344       0.9096234        1.101955      0.01454926
             345       0.9099657        1.101399      0.01451772
             346       0.9103003        1.100846      0.01448627
             347       0.9106349        1.100298      0.01445489
             348       0.9109656        1.099754      0.01442359
             349       0.9112865        1.099214      0.01439236
             350       0.9115981        1.098678      0.01436122
             351       0.9118918        1.098146      0.01433016
             352       0.9121749        1.097617      0.01429919
             353       0.9124459        1.097093       0.0142683
             354       0.9127013        1.096572       0.0142375
             355       0.9129412        1.096055      0.01420678
             356       0.9131554        1.095541      0.01417616
             357        0.913358        1.095031      0.01414564
             358       0.9135322        1.094524      0.01411521
             359       0.9136923         1.09402      0.01408487
             360        0.913824        1.093519      0.01405464
             361       0.9139285        1.093022      0.01402451
             362       0.9140089        1.092527      0.01399448
             363       0.9140561        1.092036      0.01396456
             364        0.914083        1.091547      0.01393476
             365       0.9140822        1.091061      0.01390506
             366        0.914051        1.090577      0.01387547
             367       0.9139978        1.090096      0.01384601
             368        0.913907        1.089617      0.01381666
             369       0.9137942        1.089141      0.01378743
             370       0.9136486        1.088666      0.01375832
             371       0.9134702        1.088194      0.01372934
             372       0.9132681        1.087724      0.01370048
             373        0.913043        1.087256      0.01367175
             374       0.9127866        1.086789      0.01364315
             375       0.9125108        1.086324      0.01361468
             376       0.9121989        1.085861      0.01358635
             377       0.9118694          1.0854      0.01355815
             378       0.9115189         1.08494      0.01353008
             379       0.9111393        1.084481      0.01350215
             380       0.9107453        1.084024      0.01347435
             381        0.910327        1.083568       0.0134467
             382       0.9098944        1.083113      0.01341918
             383       0.9094378         1.08266       0.0133918
             384       0.9089675        1.082208      0.01336457
             385       0.9084803        1.081756      0.01333747
             386       0.9079912        1.081306      0.01331051
             387       0.9074886        1.080857      0.01328369
             388       0.9069695        1.080409      0.01325701
             389       0.9064403        1.079962      0.01323048
             390        0.905911        1.079515      0.01320408
             391       0.9053716         1.07907      0.01317782
             392       0.9048282        1.078626      0.01315169
             393       0.9042819        1.078182      0.01312571
             394       0.9037342        1.077739      0.01309986
             395       0.9031868        1.077297      0.01307415
             396       0.9026411        1.076856      0.01304857
             397       0.9020961        1.076416      0.01302312
             398       0.9015579        1.075977      0.01299781
             399       0.9010229        1.075538      0.01297263
             400       0.9004924        1.075101      0.01294758
             401       0.8999765        1.074664      0.01292265
             402       0.8994696        1.074228      0.01289785
             403       0.8989706        1.073793      0.01287318
             404       0.8984848        1.073359      0.01284862
             405       0.8980068        1.072926      0.01282419
             406       0.8975465        1.072494      0.01279988
             407       0.8970963        1.072063      0.01277568
             408       0.8966683        1.071633       0.0127516
             409       0.8962517        1.071205      0.01272763
             410       0.8958561        1.070777      0.01270377
             411       0.8954714         1.07035      0.01268002
             412       0.8951074        1.069925      0.01265637
             413       0.8947622        1.069501      0.01263283
             414       0.8944366        1.069078      0.01260939
             415       0.8941312        1.068657      0.01258606
             416        0.893853        1.068236      0.01256281
             417        0.893592        1.067818      0.01253967
             418       0.8933533          1.0674      0.01251661
             419       0.8931375        1.066984      0.01249365
             420       0.8929431         1.06657      0.01247077
             421       0.8927724        1.066157      0.01244798
             422        0.892626        1.065746      0.01242527
             423       0.8925046        1.065336      0.01240264
             424       0.8924068        1.064928       0.0123801
             425       0.8923377        1.064522      0.01235763
             426       0.8922955        1.064118      0.01233523
             427       0.8922831        1.063716       0.0123129
             428       0.8922967        1.063315      0.01229065
             429       0.8923373        1.062917      0.01226846
             430       0.8924083         1.06252      0.01224633
             431         0.89251        1.062126      0.01222427
             432        0.892643        1.061733      0.01220227
             433       0.8928081        1.061343      0.01218032
             434       0.8930107        1.060955      0.01215843
             435       0.8932467         1.06057      0.01213659
             436       0.8935215        1.060187       0.0121148
             437       0.8938267        1.059806      0.01209306
             438       0.8941657        1.059428      0.01207136
             439       0.8945482        1.059052       0.0120497
             440       0.8949594        1.058679      0.01202809
             441       0.8954133        1.058309      0.01200651
             442       0.8959031        1.057942      0.01198497
             443       0.8964316        1.057577      0.01196346
             444       0.8969991        1.057215      0.01194198
             445       0.8976083        1.056857      0.01192053
             446       0.8982553        1.056501       0.0118991
             447       0.8989444        1.056149       0.0118777
             448       0.8996645        1.055799      0.01185632
             449       0.9004338        1.055453      0.01183497
             450       0.9012391        1.055111      0.01181363
             451       0.9020864        1.054771       0.0117923
             452       0.9029708        1.054435        0.011771
             453       0.9038958        1.054103       0.0117497
             454       0.9048586        1.053774      0.01172842
             455       0.9058582        1.053449      0.01170715
             456       0.9068937        1.053128      0.01168588
             457       0.9079662         1.05281      0.01166463
             458       0.9090702        1.052496      0.01164338
             459       0.9102107        1.052186      0.01162214
             460       0.9113771         1.05188      0.01160091
             461       0.9125769        1.051578      0.01157968
             462        0.913795         1.05128      0.01155845
             463        0.915052        1.050986      0.01153723
             464       0.9163215        1.050695      0.01151602
             465       0.9176122        1.050409      0.01149481
             466       0.9189127        1.050127       0.0114736
             467        0.920241        1.049849       0.0114524
             468       0.9215815        1.049575      0.01143121
             469       0.9229357        1.049305      0.01141003
             470        0.924301        1.049039      0.01138885
             471       0.9256684        1.048777      0.01136768
             472       0.9270444        1.048519      0.01134652
             473       0.9284195        1.048265      0.01132538
             474       0.9297913        1.048015      0.01130424
             475       0.9311622        1.047769      0.01128312
             476       0.9325276        1.047527      0.01126201
             477       0.9338824        1.047289      0.01124092
             478       0.9352269        1.047054      0.01121985
             479       0.9365589        1.046824       0.0111988
             480       0.9378802        1.046597      0.01117776
             481       0.9391891        1.046373      0.01115676
             482       0.9404662        1.046154      0.01113577
             483       0.9417274        1.045937      0.01111482
             484       0.9429686        1.045725      0.01109389
             485       0.9441812        1.045515      0.01107299
             486       0.9453657        1.045309      0.01105212
             487       0.9465275        1.045106      0.01103129
             488        0.947663        1.044907      0.01101049
             489       0.9487708         1.04471      0.01098973
             490       0.9498432        1.044517      0.01096901
             491       0.9508815        1.044326      0.01094832
             492        0.951894        1.044138      0.01092768
             493       0.9528733        1.043953      0.01090709
             494       0.9538143         1.04377      0.01088653
             495       0.9547256        1.043591      0.01086603
             496       0.9556023        1.043413      0.01084557
             497       0.9564419        1.043238      0.01082516
             498       0.9572487        1.043065       0.0108048
             499       0.9580205        1.042895      0.01078449
             500       0.9587573        1.042727      0.01076423
             501        0.959455        1.042561      0.01074403
             502       0.9601227        1.042396      0.01072388
             503       0.9607517        1.042234      0.01070379
             504       0.9613469        1.042074      0.01068376
             505       0.9619108        1.041915      0.01066378
             506        0.962444        1.041758      0.01064386
             507       0.9629384        1.041602        0.010624
             508       0.9634059        1.041448       0.0106042
             509       0.9638422        1.041296      0.01058447
             510       0.9642457        1.041145      0.01056479
             511       0.9646193        1.040995      0.01054518
             512       0.9649662        1.040847      0.01052563
             513       0.9652854        1.040699      0.01050614
             514       0.9655775        1.040553      0.01048672
             515       0.9658409        1.040408      0.01046736
             516       0.9660789        1.040264      0.01044806
             517       0.9662946        1.040121      0.01042883
             518       0.9664884        1.039979      0.01040967
             519       0.9666546        1.039837      0.01039057
             520       0.9668032        1.039697      0.01037154
             521       0.9669305        1.039557      0.01035257
             522       0.9670418        1.039418      0.01033367
