#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
             396      -0.0363176      -0.0332786     6.73305e-05
             397      -0.0363399      -0.0332863     6.76011e-05
             398      -0.0363623       -0.033294     6.78716e-05
             399      -0.0363847      -0.0333018     6.81421e-05
             400      -0.0364096      -0.0333095     6.84132e-05
             401      -0.0364322      -0.0333173     6.86844e-05
             402      -0.0364572      -0.0333251     6.89562e-05
             403      -0.0364871       -0.033333       6.923e-05
             404      -0.0365099      -0.0333408     6.95038e-05
             405      -0.0365352      -0.0333487     6.97783e-05
             406      -0.0365605      -0.0333566     7.00534e-05
             407      -0.0365883      -0.0333646     7.03299e-05
             408      -0.0366114      -0.0333725     7.06063e-05
             409      -0.0366394      -0.0333805      7.0884e-05
             410      -0.0366651      -0.0333885     7.11624e-05
             411      -0.0366908      -0.0333966     7.14414e-05
             412      -0.0367142      -0.0334046     7.17204e-05
             413      -0.0367378      -0.0334127     7.19994e-05
             414      -0.0367661      -0.0334208     7.22797e-05
             415      -0.0367898      -0.0334289     7.25599e-05
             416      -0.0368135       -0.033437     7.28403e-05
             417      -0.0368421      -0.0334452     7.31218e-05
             418      -0.0368684      -0.0334534     7.34041e-05
             419      -0.0368971      -0.0334616     7.36876e-05
             420      -0.0369212      -0.0334699     7.39711e-05
             421      -0.0369501      -0.0334781     7.42559e-05
             422      -0.0369767      -0.0334864     7.45413e-05
             423      -0.0370034      -0.0334947     7.48273e-05
             424      -0.0370278      -0.0335031     7.51134e-05
             425       -0.037057      -0.0335114     7.54007e-05
             426      -0.0370839      -0.0335198     7.56886e-05
             427      -0.0371086      -0.0335282     7.59765e-05
             428      -0.0371333      -0.0335366     7.62645e-05
             429      -0.0371557      -0.0335451     7.65519e-05
             430      -0.0371806      -0.0335535     7.68393e-05
             431      -0.0372056       -0.033562     7.71268e-05
             432      -0.0372306      -0.0335705     7.74144e-05
             433      -0.0372581       -0.033579     7.77026e-05
             434      -0.0372833      -0.0335875      7.7991e-05
             435      -0.0373133      -0.0335961     7.82806e-05
             436      -0.0373387      -0.0336047     7.85703e-05
             437      -0.0373665      -0.0336133     7.88606e-05
             438       -0.037392      -0.0336219     7.91511e-05
             439        -0.03742      -0.0336306     7.94422e-05
             440      -0.0374481      -0.0336393      7.9734e-05
             441      -0.0374739       -0.033648      8.0026e-05
             442      -0.0374997      -0.0336567      8.0318e-05
             443       -0.037528      -0.0336654     8.06107e-05
             444      -0.0375541      -0.0336742     8.09035e-05
             445      -0.0375826      -0.0336829     8.11971e-05
             446      -0.0376111      -0.0336918     8.14913e-05
             447      -0.0376374      -0.0337006     8.17856e-05
             448      -0.0376638      -0.0337094     8.20801e-05
             449      -0.0376902      -0.0337183     8.23748e-05
             450      -0.0377215      -0.0337272     8.26707e-05
             451      -0.0377505      -0.0337361     8.29673e-05
             452      -0.0377795      -0.0337451     8.32646e-05
             453       -0.037804       -0.033754     8.35615e-05
             454      -0.0378308       -0.033763     8.38585e-05
             455      -0.0378578       -0.033772     8.41557e-05
             456      -0.0378849       -0.033781     8.44531e-05
             457      -0.0379144      -0.0337901     8.47513e-05
             458      -0.0379463      -0.0337991     8.50507e-05
             459      -0.0379737      -0.0338082     8.53503e-05
             460      -0.0380011      -0.0338173     8.56501e-05
             461      -0.0380286      -0.0338265       8.595e-05
             462      -0.0380561      -0.0338356     8.62502e-05
             463      -0.0380838      -0.0338448     8.65506e-05
             464      -0.0381116       -0.033854     8.68512e-05
             465      -0.0381394      -0.0338632      8.7152e-05
             466      -0.0381673      -0.0338725      8.7453e-05
             467      -0.0382001      -0.0338817     8.77554e-05
             468      -0.0382282       -0.033891     8.80579e-05
             469      -0.0382564      -0.0339003     8.83607e-05
             470      -0.0382847      -0.0339096     8.86638e-05
             471      -0.0383131       -0.033919     8.89671e-05
             472       -0.038344      -0.0339284     8.92712e-05
             473      -0.0383725      -0.0339378     8.95755e-05
             474      -0.0384012      -0.0339472     8.98801e-05
             475      -0.0384323      -0.0339566     9.01855e-05
             476      -0.0384587      -0.0339661     9.04907e-05
             477      -0.0384876      -0.0339756     9.07961e-05
             478      -0.0385166      -0.0339851     9.11018e-05
             479      -0.0385457      -0.0339946     9.14078e-05
             480      -0.0385749      -0.0340041     9.17141e-05
             481      -0.0386042      -0.0340137     9.20207e-05
             482      -0.0386336      -0.0340233     9.23276e-05
             483      -0.0386654      -0.0340329     9.26353e-05
             484       -0.038695      -0.0340425     9.29434e-05
             485      -0.0387246      -0.0340522     9.32518e-05
             486      -0.0387567      -0.0340619      9.3561e-05
             487      -0.0387889      -0.0340716      9.3871e-05
             488      -0.0388236      -0.0340813     9.41823e-05
             489      -0.0388536      -0.0340911      9.4494e-05
             490      -0.0388884      -0.0341008      9.4807e-05
             491       -0.038921      -0.0341107     9.51208e-05
             492      -0.0389513      -0.0341205      9.5435e-05
             493      -0.0389817      -0.0341304     9.57494e-05
             494      -0.0390146      -0.0341402     9.60647e-05
             495      -0.0390475      -0.0341502     9.63808e-05
             496      -0.0390806      -0.0341601     9.66978e-05
             497      -0.0391113      -0.0341701      9.7015e-05
             498      -0.0391422      -0.0341801     9.73326e-05
             499      -0.0391779      -0.0341901     9.76515e-05
             500      -0.0392113      -0.0342001     9.79712e-05
             501      -0.0392425      -0.0342102     9.82913e-05
             502      -0.0392761      -0.0342203     9.86122e-05
             503      -0.0393098      -0.0342304     9.89339e-05
             504      -0.0393413      -0.0342405     9.92559e-05
             505      -0.0393728      -0.0342507     9.95783e-05
             506      -0.0394044      -0.0342609     9.99011e-05
             507      -0.0394362      -0.0342711     0.000100224
             508      -0.0394704      -0.0342813     0.000100548
             509      -0.0394999      -0.0342916     0.000100872
             510       -0.039532      -0.0343018     0.000101196
             511      -0.0395641      -0.0343121     0.000101521
             512      -0.0395963      -0.0343225     0.000101846
             513      -0.0396286      -0.0343328     0.000102171
             514      -0.0396729      -0.0343432     0.000102499
             515      -0.0397054      -0.0343536     0.000102828
             516       -0.039738       -0.034364     0.000103156
             517      -0.0397707      -0.0343745     0.000103486
             518      -0.0398036       -0.034385     0.000103815
             519      -0.0398365      -0.0343955     0.000104145
             520      -0.0398695       -0.034406     0.000104476
             521      -0.0399026      -0.0344166     0.000104806
             522      -0.0399358      -0.0344271     0.000105138
             523      -0.0399692      -0.0344377     0.000105469
             524      -0.0400049      -0.0344484     0.000105802
             525      -0.0400385       -0.034459     0.000106135
             526      -0.0400721      -0.0344697     0.000106468
             527      -0.0401058      -0.0344804     0.000106802
             528      -0.0401396      -0.0344911     0.000107136
             529      -0.0401736      -0.0345018     0.000107471
             530      -0.0402076      -0.0345126     0.000107806
             531      -0.0402417      -0.0345234     0.000108141
             532      -0.0402807      -0.0345342     0.000108478
             533      -0.0403151      -0.0345451     0.000108815
             534      -0.0403495      -0.0345559     0.000109153
             535      -0.0403841      -0.0345668     0.000109491
             536      -0.0404211      -0.0345777     0.000109831
             537      -0.0404582      -0.0345887     0.000110171
             538      -0.0404931      -0.0345997     0.000110511
