#     BLOCK:   ACTUAL_M:     M_AVE:      ERROR:
             640           -0.12       0.0041875       0.0106151
             641            0.04      0.00424337       0.0105987
             642           -0.16      0.00398754       0.0105852
             643           -0.08      0.00385692       0.0105696
             644            -0.2      0.00354037       0.0105579
             645            -0.2      0.00322481       0.0105462
             646            -0.2      0.00291022       0.0105346
             647           -0.16      0.00265842       0.0105213
             648           -0.08      0.00253086       0.0105059
             649           -0.08       0.0024037       0.0104905
             650           -0.16      0.00215385       0.0104773
             651           -0.12      0.00196621       0.0104629
             652           -0.12      0.00177914       0.0104485
             653           -0.12      0.00159265       0.0104342
             654           -0.16      0.00134557       0.0104211
             655           -0.24     0.000977099       0.0104117
             656           -0.16     0.000731707       0.0103988
             657           -0.24     0.000365297       0.0103894
             658           -0.24      2.2272e-17         0.01038
             659            -0.2     -0.00030349       0.0103687
             660           -0.32    -0.000787879       0.0103643
             661           -0.36     -0.00133132       0.0103629
             662           -0.28     -0.00175227       0.0103557
             663           -0.08     -0.00187029       0.0103408
             664            -0.2     -0.00216867       0.0103295
             665               0     -0.00216541        0.010314
             666           -0.08     -0.00228228       0.0102992
             667            0.04     -0.00221889       0.0102839
             668           -0.04     -0.00227545       0.0102687
             669           -0.12     -0.00245142       0.0102548
             670           -0.08     -0.00256716       0.0102402
             671           -0.16     -0.00280179       0.0102276
             672           -0.12     -0.00297619       0.0102139
             673           -0.04      -0.0030312       0.0101989
             674            0.08     -0.00290801       0.0101845
             675            0.28     -0.00248889        0.010178
             676            0.32     -0.00201183       0.0101741
             677            0.24     -0.00165436       0.0101654
             678            0.24     -0.00129794       0.0101566
             679            0.16     -0.00106038       0.0101444
             680            0.08    -0.000941176       0.0101302
             681            0.16    -0.000704846       0.0101181
             682            0.32    -0.000234604       0.0101142
             683             0.4     0.000351391       0.0101163
             684            0.44     0.000994152        0.010122
             685             0.4      0.00157664       0.0101239
             686            0.36      0.00209913       0.0101226
             687            0.36      0.00262009       0.0101213
             688             0.2      0.00290698       0.0101107
             689               0      0.00290276        0.010096
             690           -0.08      0.00278261       0.0100821
             691            0.04      0.00283647       0.0100676
             692            0.32       0.0032948       0.0100635
             693            0.24      0.00363636       0.0100548
             694             0.2      0.00391931       0.0100443
             695            0.36      0.00443165       0.0100429
             696            0.52      0.00517241       0.0100557
             697             0.6      0.00602582       0.0100774
             698            0.56      0.00681948       0.0100942
             699            0.44       0.0074392       0.0100988
             700            0.36      0.00794286       0.0100969
